Response,Share of voice
Amazon (amazon.com),10.1%
Macy’s (macys.com),7.26%
Wikipedia (wikipedia.org),3.25%
H&M (hm.com),3%
Third Love (thirdlove.com),2.98%
Target (target.com),2.12%
Kohl’s (kohls.com),1.93%
Pinterest (pinterest.com),1.88%
Asos (asos.com),1.79%
Nordstrom rack (nordstromrack.com),1.75%
Soma (soma.com),1.21%
Good Housekeeping (goodhousekeeping.com,1.19%
Victoria’s Secret (victoriassecret.com),1.12%
American Eagle Outfitters (ae.com),1.06%
Pacsun (pacsun.com),1.04%
Lulus (lulus.com),0.88%
AliExpress (aliexpress.com),0.82%
Dick’s Sporting Goods (dickssportinggoods.com),0.77%
Bloomingdale’s (bloomingdales.com),0.77%
Urban Outfitters (urbanoutfitters.com),0.74%
