Response,Percentage of respondents
Sexual assault/relationship violence,85.6%
Alcohol and other drug use,79.7%
Depression/anxiety,69%
Stress reduction,64.7%
Sexually transmitted disease/infection (STD/I) prevention,60.2%
Cold/flu/sore throat,59.4%
How to help others in distress,58.9%
Suicide prevention,58%
Physical activity,57.3%
Pregnancy prevention,54.1%
Violence prevention,54.1%
Nutrition,48%
Relationship difficulities,46.8%
Tobacco use,41.4%
Injury prevention,38.1%
Grief and loss,37.2%
Eating disorders,30.1%
Sleep difficulities,23.5%
Problem use of internet/computer games,20.8%
