household expenditure ,Average expenditure in Canadian dollars
Shelter,12692
Transportation,12155
Income taxes,11708
Food expenditures,7634
Household operations,4757
Personal insurance payments and pension contributions,4621
Recreation,3302
Clothing and accessories,2715
Health care,2640
Household furnishings and equipment,1949
"Gifts of money, support payments and charitable contributions",1893
Miscellaneous expenditures,1324
Tobacco products and alcoholic beverages,1237
Personal care,995
Education,841
Games of chance,210
Reading materials and other printed matter,159
