State,"Number of deaths per 1,000 residents"
Massachusetts,125.1
New Jersey,120.1
Connecticut,100.0
Rhode Island,86.6
Louisiana,85.5
Mississippi,74.9
Georgia,73.7
Pennsylvania,66.2
South Carolina,63.1
Maryland,62.4
Texas,62.0
Arizona,59.6
Alabama,59.3
Indiana,59.0
District of Columbia,56.3
Delaware,55.3
Florida,53.1
Illinois,52.8
California,51.8
New York,50.5
New Mexico,50.1
Michigan,48.8
Virginia,46.2
North Carolina,46.1
Arkansas,45.8
Colorado,38.4
New Hampshire,38.3
Washington,38.0
Ohio,34.9
Kentucky,34.9
Minnesota,33.9
Utah,31.9
Iowa,31.0
Missouri,30.8
Nebraska,26.6
Nevada,26.4
Tennessee,24.8
Idaho,22.8
Oklahoma,22.2
West Virginia,17.8
Kansas,16.0
North Dakota,15.0
South Dakota,14.4
Oregon,13.6
Wisconsin,12.4
Vermont,11.1
Maine,9.0
Montana,4.7
Hawaii,3.2
Alaska,3.1
Wyoming,2.2
Puerto Rico,0.0
