Year,Number of nominations
Marriage Story,6
The Irishman,5
Once Upon a Time...in Hollywood,5
Joker,4
The Two Popes,4
1917,3
Knives Out,3
Parasite,3
Rocketman,3
Bombshell,2
Dolemite Is My Name,2
The Farewell,2
Frozen 2,2
Harriet,2
Jojo Rabbit,2
The Lion King,2
Little Women,2
Pain and Glory,2
A Beautiful Day in the Neighborhood,1
Booksmart,1
Cats,1
Ford v Ferrari,1
How to Train Your Dragon: The Hidden World,1
Hustlers,1
Judy,1
Late Night,1
Les Misérables,1
Missing Link,1
Motherless Brooklyn,1
Portrait of a Lady on Fire,1
The Report,1
Richard Jewell,1
Toy Story 4,1
"Where'd You Go, Bernadette",1
