State,Average taxes paid in U.S. dollars
New Jersey,11510
Connecticut,11325
New York,10532
Maryland,9701
Massachusetts,9581
Washington,9232
Hawaii,9214
District of Columbia,9009
Illinois,8902
Rhode Island,8738
California,8147
Pennsylvania,7861
Virginia,7711
Minnesota,7466
Wisconsin,7379
New Hampshire,7378
Vermont,7274
Kansas,7056
Nebraska,6983
Texas,6881
Iowa,6816
Maine,6571
Ohio,6494
Colorado,6289
Oregon,6258
Michigan,6172
North Dakota,6064
Indiana,6024
Utah,5898
Kentucky,5879
South Dakota,5872
Missouri,5791
Georgia,5665
Arizona,5577
North Carolina,5530
Oklahoma,5489
Mississippi,5237
New Mexico,5067
Louisiana,5063
Arkansas,5045
Wyoming,5029
Nevada,4973
Idaho,4626
South Carolina,4605
Florida,4598
Alaska,4474
Tennessee,4357
Alabama,4343
West Virginia,4266
Delaware,4202
Montana,4115
