Year,GDP per capita in U.S. dollars
2025*,2756.11
2024*,2544.33
2023*,2348.82
2022*,2168.33
2021*,1989.85
2020*,1887.97
2019*,1816.04
2018*,1661.88
2017*,1530.12
2016*,1370.77
2015*,1220.76
2014*,1163.04
2013,1030.03
2012,916.03
2011,857.5
2010,807.53
2009,728.39
2008,655.95
2007,584.5
2006,523.03
2005,495.49
2004,485.66
2003,454.1
2002,419.69
2001,406.41
2000,412.33
1999,415.37
1998,407.35
1997,402.89
1996,393.53
1995,383.1
1994,353.91
1993,332.77
1992,324.43
1991,331.73
1990,329.49
1989,324.93
1988,302.59
1987,287.84
1986,267.98
1985,262.55
