Industry,Employment change in thousands
Wired telecommunications carriers,-127.2
Postal Service,-126.5
Wholesale trade,-98.5
All other retail,-88.7
Printing and related support activities,-84.5
"Newspaper, periodical, book, and directory publishers",-76.8
Private households,-75.6
General Merchandise stores,-69.9
Textile mills and textile product mills,-40.3
"Apparel, leather and allied product manufacturing",-40.1
Semiconductor and other electronic component manufacturing,-39.0
Aerospace product and parts manufacturing,-36.7
"Navigational, measuring, electromedical, and control instruments manufacturing",-35.1
Food and beverage stores,-29.9
Drycleaning and laundry services,-24.5
State government enterprises,-24.2
Communications equipment manufacturing,-23.5
Travel arrangement and reservation services,-23.1
Plastics product manufacturing,-22.6
Converted paper product manufacturing,-22.6
