Year,Gross domestic product in billion U.S. dollars
2025*,1.68$
2024*,1.59$
2023*,1.5$
2022*,1.41$
2021*,1.32$
2020*,1.2$
2019*,1.19$
2018,1.18$
2017,1.08$
2016,1.01$
2015,0.97$
2014,1.15$
2013,1.12$
2012,1.02$
2011,1.02$
2010,0.91$
2009,0.9$
2008,0.92$
2007,0.8$
2006,0.69$
2005,0.66$
2004,0.62$
2003,0.55$
2002,0.43$
2001,0.37$
2000,0.34$
1999,0.37$
1998,0.36$
1997,0.36$
1996,0.39$
1995,0.39$
1994,0.31$
1993,0.43$
1992,0.44$
1991,0.4$
1990,0.4$
1989,0.33$
1988,0.34$
1987,0.31$
1986,0.26$
1985,0.19$
