Month,Number of deaths
Oct 20,46296
Sep 20,42500
Aug 20,37187
Jul 20,40780
Jun 20,42624
May 20,52374
Apr 20,88153
Mar 20,49723
Feb 20,43653
Jan 20,56706
Dec 19,47469
Nov 19,45219
Oct 19,46240
Sep19,40012
Aug 19,38843
Jul 19,42305
Jun 19,38606
May 19,44388
Apr 19,44123
Mar 19,43946
Feb 19,45796
Jan 19,53910
Dec 18,41539
Nov 18,43978
Oct 18,44440
Sep 18,37137
Aug 18,40192
Jul 18,40723
Jun 18,39767
May 18,42784
Apr 18,46469
Mar 18,51229
Feb 18,49177
Jan 18,64154
Dec 17,45129
Nov 17,45580
Oct 17,43597
Sep 17,40095
Aug 17,41074
Jul 17,38425
Jun 17,42175
May 17,44279
Apr 17,39101
Mar 17,48664
Feb 17,47766
Jan 17,57368
Dec 16,45555
Nov 16,46514
Oct 16,40448
Sep 16,40367
Aug 16,40786
Jul 16,38983
Jun 16,42012
May 16,41384
Apr 16,46856
Mar 16,48665
Feb 16,46021
Jan 16,47457
Dec 15,45509
Nov 15,41520
Oct 15,42232
Sep 15,41573
Aug 15,36199
Jul 15,40512
Jun 15,42082
May 15,39343
Apr 15,45178
Mar 15,47895
Feb 15,46721
Jan 15,60891
