Month,Inflation rate
Jul '20,0.7%
Jun '20,1%
May '20,0.4%
Apr '20,0.3%
Mar '20,-0.3%
Feb '20,-1.3%
Jan '20,-1%
Dec '19,-0.7%
Nov '19,-1.2%
Oct '19,-1.2%
Sep '19,-0.3%
Aug '19,0.3%
Jul '19,-0.4%
Jun '19,0.1%
May '19,0.2%
Apr '19,1.2%
Mar '19,1%
Feb '19,1.5%
Jan '19,0.8%
Dec '18,1.5%
Nov '18,1.3%
Oct '18,1.7%
Sep '18,1.5%
Aug '18,1.1%
Jul '18,1.5%
Jun '18,2.1%
May '18,1.6%
Apr '18,1.4%
Mar '18,0.9%
Feb '18,-0.4%
Jan '18,1%
Dec '17,0.6%
Nov '17,0.3%
Oct '17,0.4%
Sep '17,0.3%
Aug '17,-0.4%
Jul '17,0.3%
Jun '17,-0.6%
May '17,0.7%
Apr '17,0%
Mar '17,0.6%
Feb '17,1.8%
Jan '17,0.9%
Dec '16,0.9%
Nov '16,0.8%
Oct '16,0.8%
Sep '16,0.6%
Aug '16,1.3%
Jul '16,1.2%
Jun '16,0.6%
May '16,0.2%
Apr '16,0.1%
Mar '16,-0.1%
Feb '16,-0.4%
Jan '16,-1.4%
Dec '15,-1.2%
Nov '15,-0.6%
Oct '15,-0.6%
Sep '15,-1.3%
Aug '15,-1.1%
Jul '15,-1.5%
Jun '15,-0.8%
May '15,-1.2%
