Year,Crude birth rate
2020,11.1
2015,11.9
2010,12.6
2005,12.4
2000,13.4
1995,13.9
1990,13.3
1985,12.3
1980,12.9
1975,15.9
1970,17.5
1965,17.4
1960,18.1
1955,18.7
1950,20.57
1945,18.45
1940,15.38
1935,15.17
1930,17.99
1925,22.25
1920,24.62
1915,24.97
1910,26.39
1905,28.55
1900,29.99
1895,30.14
1890,30.54
1885,30.95
1880,31.55
1875,30.33
1870,29.88
1865,31.86
1860,33.34
1855,32.51
1850,30.92
1845,30.37
1840,28.59
1835,31.18
1830,32.92
1825,33.68
1820,32.71
1815,27.7
1810,27.44
1805,28.44
1800,30.0
