Year,Life expectancy in years
2020,82.57
2015,81.92
2010,81.06
2005,80.13
2000,79.3
1995,78.17
1990,77.16
1985,76.4
1980,75.34
1975,74.79
1970,74.12
1965,73.5
1960,72.89
1955,71.86
1950,70.33
1945,68.16
1940,65.59
1935,64.26
1930,62.43
1925,61.93
1920,56.46
1915,57.99
1910,57.26
1905,54.54
1900,53.11
1895,51.86
1890,51.44
1885,48.85
1880,46.83
1875,47.33
1870,44.02
1865,45.04
1860,42.3
1855,42.52
1850,43.3
1845,44.16
1840,41.71
1835,41.6
1830,40.12
1825,43.26
1820,39.85
1815,37.03
1810,32.79
1805,39.63
1800,32.16
1795,38.99
1790,35.92
1785,34.62
1780,38.13
1775,31.96
1770,36.51
1765,35.95
