Year,Annual growth
2019,1.3%
2018,1.3%
2017,1.7%
2016,1.7%
2015,2.4%
2014,2.9%
2013,2.2%
2012,1.4%
2011,1.3%
2010,2.1%
2009,-4.1%
2008,-0.3%
2007,2.4%
2006,2.7%
2005,3%
2004,2.3%
2003,3.3%
2002,2.2%
2001,2.7%
2000,3.5%
1999,3.3%
1998,3.7%
1997,5%
1996,2.5%
1995,2.5%
1994,3.8%
1993,2.5%
1992,0.4%
1991,-1.1%
1990,0.7%
1989,2.6%
1988,5.7%
1987,5.4%
1986,3.2%
1985,4.1%
1984,2.2%
1983,4.2%
1982,2%
1981,-0.7%
1980,-2.1%
1979,3.7%
1978,4.2%
1977,2.4%
1976,3%
1975,-1.5%
1974,-2.5%
1973,6.5%
1972,4.3%
1971,3.6%
1970,2.7%
1969,1.9%
1968,5.5%
1967,2.8%
1966,1.5%
1965,2.1%
1964,5.7%
1963,4.8%
1962,1.1%
1961,2.7%
1960,6.3%
1959,4.3%
1958,1.3%
1957,2%
1956,1.7%
1955,4%
1954,4.4%
1953,5.6%
1952,1.5%
1951,3.7%
1950,3.3%
1949,3.3%
