U.S. president,Years in office
George Washington,7.84
John Adams,4.0
Thomas Jefferson,8.0
James Madison,8.0
James Monroe,8.0
John Quincy Adams,4.0
Andrew Jackson,8.0
Martin Van Buren,4.0
William H. Harrison*,0.08
John Tyler,3.92
James K. Polk,4.0
Zachary Taylor*,1.35
Millard Fillmore,2.65
Franklin Pierce,4.0
James Buchanan,4.0
Abraham Lincoln**,4.11
Andrew Johnson,3.89
Ulysses S. Grant,8.0
Rutherford B. Hayes,4.0
James A. Garfield**,0.54
Chester A. Arthur,3.46
Grover Cleveland***,8.0
Benjamin Harrison,4.0
William McKinley**,4.53
Theodore Roosevelt,7.47
William H. Taft,4.0
Woodrow Wilson,8.0
Warren G. Harding*,2.41
Calvin Coolidge,5.59
Herbert Hoover,4.0
Franklin D. Roosevelt*,12.11
Harry S. Truman,7.78
Dwight D. Eisenhower,8.0
John F. Kennedy**,2.84
Lyndon B. Johnson,5.16
Richard Nixon****,5.55
Gerald Ford,2.45
Jimmy Carter,4.0
Ronald Raegan,8.0
George H. W. Bush,4.0
Bill Clinton,8.0
George W. Bush,8.0
Barack Obama,8.0
Donald Trump*****,4.0
