Month,Number of patients
Dec 3 '20,2507
Dec 2 '20,2419
Dec 1 '20,2019
Nov 30 '20,1429
Nov 29 '20,2041
Nov 28 '20,2674
Nov 27 '20,2510
Nov 26 '20,2499
Nov 25 '20,1930
Nov 24 '20,1217
Nov 23 '20,1513
Nov 22 '20,2150
Nov 21 '20,2508
Nov 20 '20,2418
Nov 19 '20,2383
Nov 18 '20,2179
Nov 17 '20,1686
Nov 16 '20,948
Nov 15 '20,1423
Nov 14 '20,1723
Nov 13 '20,1704
Nov 12 '20,1623
Nov 11 '20,1535
Nov 10 '20,1278
Nov 9 '20,772
Nov 8 '20,938
Nov 7 '20,1302
Nov 6 '20,1137
Nov 5 '20,1049
Nov 4 '20,607
Nov 3 '20,868
Nov 2 '20,482
Nov 1 '20,606
Oct 31 '20,868
Oct 30 '20,769
Oct 29 '20,804
Oct 28 '20,724
Oct 27 '20,649
Oct 26 '20,401
Oct 25 '20,488
Oct 24 '20,718
Oct 23 '20,745
Oct 22 '20,610
Oct 21 '20,616
Oct 20 '20,477
Oct 19 '20,315
Oct 18 '20,457
Oct 17 '20,579
Oct 16 '20,635
Oct 15 '20,703
Oct 14 '20,549
Oct 13 '20,494
Oct 12 '20,273
Oct 11 '20,432
Oct 10 '20,669
Oct 9 '20,594
Oct 8 '20,622
Oct 7 '20,505
Oct 6 '20,497
Oct 5 '20,271
Oct 4 '20,395
Oct 3 '20,564
Oct 2 '20,537
Oct 1 '20,623
Sep 30 '20,570
Sep 29 '20,531
Sep 28 '20,294
Sep 27 '20,478
Sep 26 '20,638
Sep 25 '20,570
Sep 24 '20,477
Sep 23 '20,216
Sep 22 '20,322
Sep 21 '20,307
Sep 20 '20,469
Sep 19 '20,597
Sep 18 '20,569
Sep 17 '20,480
Sep 16 '20,543
Sep 15 '20,531
Sep 14 '20,265
Sep 13 '20,439
Sep 12 '20,641
Sep 11 '20,639
Sep 10 '20,709
Sep 9 '20,507
Sep 8 '20,514
Sep 7 '20,288
Sep 6 '20,447
Sep 5 '20,598
Sep 4 '20,583
Sep 3 '20,656
Sep 2 '20,589
Sep 1 '20,624
Aug 31 '20,425
Aug 30 '20,598
Aug 29 '20,844
Aug 28 '20,870
Aug 27 '20,867
Aug 26 '20,893
Aug 25 '20,712
Aug 24 '20,491
Aug 23 '20,739
Aug 22 '20,985
Aug 21 '20,1036
Aug 20 '20,1182
Aug 19 '20,1080
Aug 18 '20,904
Aug 17 '20,630
Aug 16 '20,1017
Aug 15 '20,1234
Aug 14 '20,1356
Aug 13 '20,1176
Aug 12 '20,969
Aug 11 '20,693
Aug 10 '20,836
Aug 9 '20,1486
Aug 8 '20,1532
