Year,"Number of marriages (in 1,000s)"
2019,26007
2018,27525
2017,28440
2016,29229
2015,29691
2014 *,29069
2013,27547
2012,30534
2011,29135
2010,28480
2009,27524
2008,28903
2007,29866
2006,29898
2005,30881
2004,32154
2003,30757
2002,29826
2001,29621
2000,30367
1999,29940
1998,29668
1997,29611
1996,30241
1995,30663
1994,31480
1993,33366
1992,35057
1991,33762
1990,34672
1989,35326
1988,35599
1987,35813
1986,35790
1985,36385
1984,36253
1983,34962
1982,34942
1981,36237
1980,38501
1979,37860
1978,37814
1977,37288
1976,37543
1975,39191
1974,41174
1973,42018
1972,42139
1971,42500
1970,43203
1969,43294
1968,43696
1967,42116
1966,41851
1965,40475
1964,40242
1963,39653
1962,40244
1961,40562
1960,40103
1959,40442
1958,41186
1957,42661
1956,43963
1955,43199
1954,41974
1953,40902
1952,41154
1951,41361
1950,40459
1949,41708
1948,43718
1947,44360
1946,45785
1945,48642
1944,37017
1943,38177
1942,47402
1941,47620
1940,53522
1939,46236
1938,38716
1937,38334
1936,37896
1935,37988
1934,36934
1933,34201
1932,33157
1931,32652
1930,33315
1929,32967
1928,32948
1927,32553
1926,31244
1925,32456
1924,32328
1923,35200
1922,34375
1921,39243
1920,46754
1919,44060
1918,34529
1917,30421
1916,31419
1915,36233
1914,35028
1913,33676
1912,32506
1911,31844
1910,30902
1909,30108
1908,31606
1907,33298
1906,33142
1905,31270
1904,32271
1903,32351
1902,31913
1901,31387
1900,32444
1899,32978
1898,32112
1897,31050
1896,30270
1895,28422
1894,27604
1893,27145
1892,28670
1891,27969
1890,27469
1889,26344
1888,25305
1887,24876
1886,24515
1885,25304
1884,26106
1883,26869
1882,26596
1881,26004
1880,24505
1879,23519
1878,24358
1877,25817
1876,26579
1875,25974
1874,26390
1873,26748
1872,25641
1871,24019
1870,23854
1869,22144
1868,21855
1867,22618
1866,23688
1865,23611
1864,22725
1863,22234
1862,20597
1861,20896
1860,21225
1859,21201
1858,19655
1857,21369
1856,20740
1855,19680
