province of China,GDP per capita in yuan
Beijing*,164220
Shanghai*,157279
Jiangsu,123607
Zhejiang,107624
Fujian,107139
Guangdong,94172
Tianjin*,90371
Hubei,77387
Chongqing*,75828
National average,70892
Shandong,70653
Inner Mongolia,67852
Shaanxi,66649
Anhui,58496
Hunan,57540
Liaoning,57191
Hainan,56507
Henan,56388
Sichuan,55774
Xinjiang,54280
Ningxia,54217
Jiangxi,53164
Qinghai,48981
Tibet,48902
Yunnan,47944
Guizhou,46433
Hebei,46348
Shanxi,45724
Jilin,43475
Guangxi,42964
Heilongjiang,36183
Gansu,32995
