Country,FDI in million Canadian dollars
United States,455073
Netherlands,123861
United Kingdom,62349
Luxembourg,56022
Switzerland,51749
Japan,33638
People's Republic of China,21194
Hong Kong,20929
Germany,18106
Brazil,15376
France,14804
Bermuda,13251
Australia,11183
Ireland,7718
Cayman Islands,7713
Spain,6372
Belgium,5629
British Virgin Islands,5365
Norway,5166
United Arab Emirates,4285
South Korea,3230
Italy,2936
Poland,2849
Barbados,2793
Mexico,2352
Sweden,2348
Kuwait,2210
South Africa,2010
Hungary,1982
Russian Federation,1598
Chile,1242
Kyrgyzstan,1059
India,971
Nigeria,934
Denmark,882
Cyprus,766
Malta,728
Finland,647
Israel,330
Austria,294
Singapore,242
New Zealand,205
Venezuela,200
Taiwan,132
Peru,123
Indonesia,116
Liberia,96
Malaysia,93
Portugal,83
Thailand,79
Argentina,73
Mauritius,38
Panama,18
Morocco,1
Lebanon,-1
Costa Rica,-1
Colombia,-2
Syrian Arab Republic,-2
"Congo, Democratic Republic of the",-2
Iceland,-3
Philippines,-4
Uruguay,-26
Bahamas,-64
