educational institution,Number of students*
Total,1861600
Comprehensive schools*,550400
Adult education centres,472300
Vocational institutes,194500
Universities,159200
Universities of applied sciences,146100
Upper secondary general schools,112200
Music schools and colleges,60900
Comprehensive and upper secondary general level schools,28600
Study circle centres,31700
Specialised vocational institutes,13000
Summer universities,26000
Folk high schools,15900
Vocational adult education centres,19700
Sports institutes,19200
Special needs vocational institutes,5500
Comprehensive school level special education schools,4200
Military academies,900
Other educational institutions,1000
"Fire, police and security service institutes",300
