Month,Number of cases
"Jan 6, 2021",31
"Jan 5, 2021",28
"Jan 4, 2021",24
"Jan 3, 2021",35
"Jan 2, 2021",33
"Jan 1, 2021",30
"Dec 31, 2020",30
"Dec 30, 2021",27
"Dec 29, 2020",13
"Dec 28, 2020",5
"Dec 27, 2020",5
"Dec 26, 2020",10
"Dec 25, 2020",14
"Dec 24, 2020",13
"Dec 23, 2020",21
"Dec 22, 2020",29
"Dec 21, 2020",10
"Dec 20, 2020",19
"Dec 19, 2020",17
"Dec 18, 2020",9
"Dec 17, 2020",24
"Dec 16, 2020",12
"Dec 15, 2020",16
"Dec 14, 2020",5
"Dec 13, 2020",7
"Dec 12, 2020",8
"Dec 11, 2020",8
"Dec 10, 2020",6
"Dec 9, 2020",6
"Dec 8, 2020",12
"Dec 7, 2020",13
"Dec 6, 2020",5
"Dec 5, 2020",13
"Dec 4, 2020",3
"Dec 3, 2020",9
"Dec 2, 2020",2
"Dec 1, 2020",10
"Nov 30, 2020",5
"Nov 29, 2020",8
"Nov 28, 2020",6
"Nov 27, 2020",4
"Nov 26, 2020",5
"Nov 25, 2020",7
"Nov 24, 2020",18
"Nov 23, 2020",5
"Nov 22, 2020",12
"Nov 21, 2020",5
"Nov 20, 2020",4
"Nov 19, 2020",4
"Nov 18, 2020",5
"Nov 17, 2020",6
"Nov 16, 2020",5
"Nov 15, 2020",3
"Nov 14, 2020",2
"Nov 13, 2020",12
"Nov 12, 2020",11
"Nov 11, 2020",18
"Nov 10, 2020",9
"Nov 9, 2020",8
"Nov 8, 2020",2
"Nov 7, 2020",7
"Nov 6, 2020",4
"Nov 5, 2020",7
"Nov 4, 2020",7
"Nov 3, 2020",9
"Nov 2, 2020",1
"Nov 1, 2020",4
"Oct 31, 2020",12
"Oct 30, 2020",9
"Oct 29, 2020",7
"Oct 28, 2020",7
"Oct 27, 2020",7
"Oct 26, 2020",3
"Oct 25, 2020",5
"Oct 24, 2020",14
"Oct 23, 2020",10
"Oct 22, 2020",8
"Oct 21, 2020",12
"Oct 20, 2020",6
"Oct 19, 2020",4
"Oct 18, 2020",7
"Oct 17, 2020",3
"Oct 16, 2020",9
"Oct 15, 2020",3
"Oct 14, 2020",5
"Oct 13, 2020",4
"Oct 12, 2020",4
"Oct 11, 2020",10
"Oct 10, 2020",7
"Oct 9, 2020",10
"Oct 8, 2020",9
"Oct 7, 2020",10
"Oct 6, 2020",11
"Oct 5, 2020",7
"Oct 4, 2020",12
"Oct 3, 2020",6
"Oct 2, 2020",10
"Oct 1, 2020",19
"Sep 30, 2020",23
"Sep 29, 2020",27
"Sep 28, 2020",15
"Sep 27, 2020",15
"Sep 26, 2020",20
"Sep 25, 2020",11
"Sep 24, 2020",15
"Sep 23, 2020",12
"Sep 22, 2020",21
"Sep 21, 2020",31
"Sep 20, 2020",18
"Sep 19, 2020",15
"Sep 18, 2020",11
"Sep 17, 2020",18
"Sep 16, 2020",27
"Sep 15, 2020",34
"Sep 14, 2020",48
"Sep 13, 2020",4
"Sep 12, 2020",4
"Sep 11, 2020",10
"Sep 10, 2020",7
"Sep 9, 2020",10
"Sep 8, 2020",9
"Sep 7, 2020",10
"Sep 6, 2020",11
"Sep 5, 2020",7
"Sep 4, 2020",12
"Sep 3, 2020",6
"Sep 2, 2020",10
"Sep 1, 2020",19
"Aug 31, 2020",23
"Aug 30, 2020",27
"Aug 29, 2020",15
"Aug 28, 2020",15
"Aug 27, 2020",20
"Aug 26, 2020",11
"Aug 25, 2020",15
"Aug 24, 2020",12
"Aug 23, 2020",21
"Aug 22, 2020",31
"Aug 21, 2020",18
"Aug 20, 2020",15
"Aug 19, 2020",11
"Aug 18, 2020",18
"Aug 17, 2020",27
"Aug 16, 2020",34
"Aug 15, 2020",48
"Aug 14, 2020",49
"Aug 13, 2020",42
"Aug 12, 2020",86
"Aug 11, 2020",63
"Aug 10, 2020",75
"Aug 9, 2020",47
"Aug 8, 2020",22
"Aug 7, 2020",40
"Aug 6, 2020",34
"Aug 5, 2020",40
"Aug 4, 2020",48
"Aug 3, 2020",49
"Aug 2, 2020",40
"Aug 1, 2020",41
"Jul 31, 2020",54
"Jul 30, 2020",51
"Jul 29, 2020",94
"Jul 28, 2020",77
"Jul 27, 2020",60
"Jul 26, 2020",31
"Jul 25, 2020",51
"Jul 24, 2020",87
"Jul 23, 2020",50
"Jul 22, 2020",117
"Jul 21, 2020",68
"Jul 20, 2020",93
"Jul 19, 2020",100
"Jul 18, 2020",91
"Jul 17, 2020",86
"Jul 16, 2020",81
"Jul 15, 2020",83
"Jul 14, 2020",102
"Jul 13, 2020",42
"Jul 12, 2020",61
"Jul 11, 2020",188
"Jul 10, 2020",175
"Jul 9, 2020",132
"Jul 8, 2020",242
"Jul 7, 2020",301
"Jul 6, 2020",908
"Jul 5, 2020",295
"Jul 4, 2020",226
"Jul 3, 2020",313
"Jul 2, 2020",307
"Jul 1, 2020",396
"Jun 30, 2020",278
"Jun 29, 2020",334
"Jun 28, 2020",359
"Jun 27, 2020",469
"Jun 26, 2020",481
"Jun 25, 2020",513
"Jun 24, 2020",277
"Jun 23, 2020",354
"Jun 22, 2020",310
"Jun 21, 2020",399
"Jun 20, 2020",123
"Jun 19, 2020",257
"Jun 18, 2020",202
"Jun 17, 2020",247
"Jun 16, 2020",151
"Jun 15, 2020",214
"Jun 14, 2020",407
"Jun 13, 2020",347
"Jun 12, 2020",463
"Jun 11, 2020",422
"Jun 10, 2020",451
"Jun 9, 2020",218
"Jun 8, 2020",389
"Jun 7, 2020",383
"Jun 6, 2020",344
"Jun 5, 2020",261
"Jun 4, 2020",517
"Jun 3, 2020",569
"Jun 2, 2020",544
"Jun 1, 2020",408
"May 31, 2020",518
"May 30, 2020",506
"May 29, 2020",611
"May 28, 2020",373
"May 27, 2020",533
"May 26, 2020",383
"May 25, 2020",344
"May 24, 2020",548
"May 23, 2020",642
"May 22, 2020",614
"May 21, 2020",448
"May 20, 2020",570
"May 19, 2020",451
"May 18, 2020",305
"May 17, 2020",682
"May 16, 2020",465
"May 15, 2020",793
"May 14, 2020",752
"May 13, 2020",675
"May 12, 2020",884
"May 11, 2020",486
"May 10, 2020",876
"May 9, 2020",753
"May 8, 2020",768
"May 7, 2020",741
"May 6, 2020",788
"May 5, 2020",632
"May 4, 2020",573
"May 3, 2020",657
"May 2, 2020",447
"May 1, 2020",932
"Apr 30, 2020",528
"Apr 29, 2020",690
"Apr 28, 2020",528
"Apr 27, 2020",799
"Apr 26, 2020",931
"Apr 25, 2020",618
"Apr 24, 2020",897
"Apr 23, 2020",1037
"Apr 22, 2020",1016
"Apr 21, 2020",1111
"Apr 20, 2020",1426
"Apr 19, 2020",596
"Apr 18, 2020",942
"Apr 17, 2020",623
"Apr 16, 2020",728
"Apr 15, 2020",447
"Apr 14, 2020",334
"Apr 13, 2020",386
"Apr 12, 2020",233
"Apr 11, 2020",191
"Apr 10, 2020",198
"Apr 9, 2020",297
"Apr 8, 2020",142
"Apr 7, 2020",106
"Apr 6, 2020",66
"Apr 5, 2020",120
"Apr 4, 2020",75
"Apr 3, 2020",65
"Apr 2, 2020",49
"Apr 1, 2020",74
"Mar 31, 2020",47
"Mar 30, 2020",35
"Mar 29, 2020",42
"Mar 28, 2020",70
"Mar 27, 2020",49
"Mar 26, 2020",52
"Mar 25, 2020",73
"Mar 24, 2020",49
"Mar 23, 2020",54
"Mar 22, 2020",23
"Mar 21, 2020",47
"Mar 20, 2020",40
"Mar 19, 2020",32
"Mar 18, 2020",47
"Mar 17, 2020",23
"Mar 16, 2020",17
"Mar 15, 2020",14
"Mar 14, 2020",12
"Mar 13, 2020",13
"Mar 12, 2020",9
"Mar 11, 2020",12
"Mar 10, 2020",6
"Mar 9, 2020",10
"Mar 8, 2020",12
"Mar 7, 2020",8
"Mar 6, 2020",13
"Mar 5, 2020",5
"Mar 4, 2020",2
"Mar 3, 2020",3
"Mar 2, 2020",2
"Mar 1, 2020",4
"Feb 29, 2020",4
"Feb 28, 2020",2
"Feb 27, 2020",3
"Feb 26, 2020",2
"Feb 25, 2020",1
"Feb 24, 2020",1
"Feb 23, 2020",0
"Feb 22, 2020",3
"Feb 21, 2020",1
"Feb 20, 2020",1
"Feb 19, 2020",3
"Feb 18, 2020",4
"Feb 17, 2020",2
"Feb 16, 2020",3
"Feb 15, 2020",5
"Feb 14, 2020",9
"Feb 13, 2020",8
"Feb 12, 2020",3
"Feb 11, 2020",2
"Feb 10, 2020",2
"Feb 9, 2020",3
"Feb 8, 2020",7
"Feb 7, 2020",3
"Feb 6, 2020",2
"Feb 5, 2020",4
"Feb 4, 2020",6
"Feb 3, 2020",0
"Feb 2, 2020",0
"Feb 1, 2020",2
"Jan 31, 2020",3
"Jan 30, 2020",3
"Jan 29, 2020",3
"Jan 28, 2020",2
"Jan 27, 2020",1
"Jan 26, 2020",0
"Jan 25, 2020",1
"Jan 24, 2020",2
"Jan 23, 2020",1
