State,Age in years
Maine,45.1
Puerto Rico,43.1
New Hampshire,43.0
West Virginia,42.9
Vermont,42.8
Florida,42.4
Delaware,41.4
Connecticut,41.2
Pennsylvania,40.8
Montana,40.5
New Jersey,40.2
Rhode Island,40.1
South Carolina,39.9
Wisconsin,39.9
Michigan,39.8
Oregon,39.7
Massachusetts,39.7
Ohio,39.6
Hawaii,39.6
Alabama,39.4
New York,39.2
Kentucky,39.2
North Carolina,39.1
Tennessee,39.0
Maryland,39.0
Missouri,38.9
Arkansas,38.8
New Mexico,38.6
Illinois,38.6
United States,38.5
Virginia,38.5
Iowa,38.5
Nevada,38.4
Minnesota,38.4
Mississippi,38.3
Arizona,38.3
Wyoming,38.1
Indiana,38.0
Washington,37.9
Louisiana,37.7
South Dakota,37.7
Kansas,37.2
Georgia,37.2
Colorado,37.1
California,37.0
Oklahoma,37.0
Idaho,36.9
Nebraska,36.8
North Dakota,35.5
Texas,35.1
Alaska,35.0
District of Columbia,34.3
Utah,31.2
