film series,Box office revenue in million U.S. dollars
Marvel Cinematic Universe,8545.43
Star Wars,5079.12
Harry Potter,2786.94
Batman,2783.76
Spider-Man,2711.12
Marvel Avengers,2619.55
X-Men,2450.11
DC Extended Universe,2147.69
Jurassic Park,1882.77
James Bond,2136.67
Peter Jackson's Lord of the Rings,1852.3
Fast and the Furious,1690.75
Transformers,1582.4
Pirates of the Caribbean,1451.77
Hunger Games,1451.54
Shrek,1419.6
Star Trek,1400.95
Twilight,1365.92
Toy Story,1317.39
Despicable Me,1220.25
Dark Knight Trilogy,1187.2
Mission: Impossible,1154.49
Superman,1152.7
Iron Man,1040.03
Indiana Jones,919.84
