Date,Year-over-year change in seated restaurant diners
2/24,-9%
2/25,-8%
2/26,-10%
2/27,-2%
2/28,-10%
2/29,-13%
3/1,10%
3/2,-6%
3/3,-7%
3/4,-1%
3/5,-15%
3/6,-13%
3/7,-5%
3/8,4%
3/9,-10%
3/10,-28%
3/11,-27%
3/12,-46%
3/13,-51%
3/14,-52%
3/15,-75%
3/16,-70%
3/17,-86%
3/18,-97%
3/19,-98.55%
3/20,-99.08%
3/21,-98.76%
3/22,-98.31%
3/23,-100%
3/24,-99.55%
3/25,-100%
3/26,-100%
3/27,-100%
3/28,-100%
3/29,-100%
3/30,-100%
3/31,-100%
4/1,-100%
4/2,-100%
4/3,-100%
4/4,-100%
4/5,-100%
4/6,-100%
4/7,-100%
4/8,-100%
4/9,-100%
4/10,-100%
4/11,-100%
4/12,-100%
4/13,-100%
4/14,-100%
4/15,-100%
4/16,-99.68%
4/17,-100%
4/18,-100%
4/19,-100%
4/20,-100%
4/21,-100%
4/22,-100%
4/23,-100%
4/24,-100%
4/25,-100%
4/26,-100%
4/27,-100%
4/28,-100%
4/29,-100%
4/30,-100%
5/1,-100%
5/2,-100%
5/3,-100%
5/4,-100%
5/5,-100%
5/6,-100%
5/7,-100%
5/8,-100%
5/9,-100%
5/10,-100%
5/11,-99.2%
5/12,-99.08%
5/13,-98.57%
5/14,-98.48%
5/15,-98.62%
5/16,-90.79%
5/17,-96.9%
5/18,-99.11%
5/19,-99.29%
5/20,-99.54%
5/21,-97.33%
5/22,-98.58%
5/23,-94.7%
5/24,-97.73%
5/25,-100%
5/26,-98.89%
5/27,-98.83%
5/28,-96.97%
5/29,-98.61%
5/30,-96.67%
5/31,-97.98%
6/1,-99.98%
6/2,-99.39%
6/3,-99.77%
6/4,-99.32%
6/5,-98.92%
6/6,-97.88%
6/7,-97.93%
6/8,-99.83%
6/9,-99.13%
6/10,-99.82%
6/11,-99.53%
6/12,-99.27%
6/13,-98.45%
6/14,-99.88%
6/15,-99.82%
6/16,-99.26%
6/17,-99.96%
6/18,-98.3%
6/19,-99.22%
6/20,-98.72%
6/21,-99.55%
6/22,-99.81%
6/23,-99.36%
6/24,-99.61%
6/25,-99.68%
6/26,-99.74%
6/27,-99.67%
6/28,-99.98%
6/29,-12.29%
6/30,-17.7%
7/1,-10.59%
7/2,-20.58%
7/3,-5.61%
7/4,-45.62%
7/5,7.6%
7/6,1.66%
7/7,-10.8%
7/8,-1.58%
7/9,4.1%
7/10,13.91%
7/11,17.49%
7/12,32.63%
7/13,6.98%
7/14,-3.63%
7/15,4.75%
7/16,18.57%
7/17,23.25%
7/18,21.01%
7/19,35.2%
7/20,12.96%
7/21,16.05%
7/22,15.16%
7/23,15.22%
7/24,29.26%
7/25,27.22%
7/26,47.77%
7/27,33.8%
7/28,19.37%
7/29,24.83%
7/30,37.9%
7/31,58.43%
8/1,60.12%
8/2,94.33%
8/3,79.41%
8/4,66.21%
8/5,43.44%
8/6,37.15%
8/7,46.28%
8/8,39.75%
8/9,49.29%
8/10,45.28%
8/11,15.75%
8/12,33.86%
8/13,27.46%
8/14,39.5%
8/15,42.97%
8/16,60.88%
8/17,38.2%
8/18,26.79%
8/19,24.78%
8/20,30.37%
8/21,34.82%
8/22,50.63%
8/23,65.97%
8/24,42.46%
8/25,32.26%
8/26,34.73%
8/27,22.79%
8/28,41.31%
8/29,52.75%
8/30,92.39%
8/31,40.01%
9/1,13.74%
9/2,20.71%
9/3,20.92%
9/4,42.52%
9/5,45.88%
9/6,70.41%
9/7,3.29%
9/8,29.16%
9/9,33.44%
9/10,22.18%
9/11,48.7%
9/12,76.69%
9/13,87.12%
9/14,36.85%
9/15,26.82%
9/16,21.92%
9/17,38.75%
9/18,52.4%
9/19,-16.93%
9/20,-6.91%
9/21,-33.25%
9/22,-53.12%
9/23,-38.67%
9/24,-40.7%
9/25,-21.88%
9/26,-19.22%
9/27,-13.51%
9/28,-25.75%
9/29,-43.42%
9/30,-51.67%
10/1,-25.72%
10/2,-36.33%
10/3,-26.46%
10/4,-36.79%
10/5,-40.22%
10/6,-50.63%
10/7,-73.33%
10/8,-70.3%
10/9,-56.43%
10/10,-42.53%
10/11,-35.2%
10/12,-67.45%
10/13,-68.5%
10/14,-59.51%
10/15,-56.33%
10/16,-46.9%
10/17,-38.86%
10/18,-45.43%
10/19,-53.73%
10/20,-46.47%
10/21,-36.55%
10/22,-95.48%
10/23,-94.92%
10/24,-94.44%
10/25,-94.94%
10/26,-97.66%
10/27,-97.89%
10/28,-99.34%
10/29,-96.93%
10/30,-96.83%
10/31,-95.55%
11/1,-98.39%
11/2,-99.56%
11/3,-99.88%
11/4,-99.76%
11/5,-99.85%
11/6,-97.79%
11/7,-97.99%
11/8,-98.41%
11/9,-99.62%
11/10,-99.78%
11/11,-99.91%
11/12,-99.51%
11/13,-99.26%
11/14,-98.89%
11/15,-99.86%
11/16,-99.31%
11/17,-99.68%
11/18,-99.68%
11/19,-98.23%
11/20,-99.23%
11/21,-98.95%
11/22,-99.15%
11/23,-99.35%
11/24,-98.89%
11/25,-99.7%
11/26,-99.96%
11/27,-98.95%
11/28,-99.68%
11/29,-99.81%
11/30,-98.97%
12/1,-95.35%
12/2,-92.55%
12/3,-86.32%
12/4,10.12%
12/5,35.58%
12/6,66.87%
12/7,48.95%
12/8,15.25%
12/9,8.05%
12/10,7%
12/11,20%
12/12,50.33%
12/13,63.69%
12/14,23.58%
12/15,5.61%
12/16,12.48%
12/17,10.33%
12/18,31.85%
12/19,58.63%
12/20,46.64%
