Month,"Number of workers (in 1,000s)"
Oct 20,8061
Sep 20,8111
Aug 20,8200
Jul 20,8256
Jun 20,8269
May 20,8403
Apr 20,8564
Mar 20,8650
Feb 20,8618
Jan 20,8522
Dec 19,8517
Nov 19,8544
Oct 19,8564
Sep 19,8540
Aug 19,8533
Jul 19,8605
Jun 19,8704
May 19,8661
Apr 19,8597
Mar 19,8586
Feb 19,8575
Jan 19,8596
Dec 18,8562
Nov 18,8534
Oct 18,8526
Sep 18,8503
Aug 18,8513
Jul 18,8540
Jun 18,8541
May 18,8554
Apr 18,8642
Mar 18,8604
Feb 18,8590
Jan 18,8547
Dec 17,8545
Nov 17,8572
Oct 17,8559
Sep 17,8568
Aug 17,8561
Jul 17,8554
Jun 17,8510
May 17,8497
Apr 17,8456
Mar 17,8460
Feb 17,8453
Jan 17,8516
Dec 16,8545
Nov 16,8546
Oct 16,8559
Sep 16,8557
Aug 16,8576
Jul 16,8524
Jun 16,8564
May 16,8539
Apr 16,8513
Mar 16,8478
Feb 16,8479
Jan 16,8506
Dec 15,8459
Nov 15,8460
Oct 15,8446
Sep 15,8439
Aug 15,8366
Jul 15,8387
Jun 15,8317
May 15,8302
Apr 15,8346
Mar 15,8387
Feb 15,8378
Jan 15,8312
Dec 14,8312
Nov 14,8285
Oct 14,8261
Sep 14,8267
Aug 14,8279
Jul 14,8308
Jun 14,8305
May 14,8291
Apr 14,8264
Mar 14,8255
Feb 14,8249
Jan 14,8164
Dec 13,8151
Nov 13,8191
Oct 13,8226
Sep 13,8162
Aug 13,8131
Jul 13,8127
Jun 13,8169
May 13,8136
Apr 13,8160
Mar 13,8105
Feb 13,8116
Jan 13,8138
Dec 12,8172
Nov 12,8184
Oct 12,8185
Sep 12,8191
Aug 12,8213
Jul 12,8202
Jun 12,8154
May 12,8089
Apr 12,8081
Mar 12,8082
Feb 12,8036
Jan 12,7982
Dec 11,7977
Nov 11,7945
Oct 11,7900
Sep 11,7873
Aug 11,7858
Jul 11,7893
Jun 11,7971
May 11,8016
Apr 11,8021
Mar 11,8005
Feb 11,8009
Jan 11,8004
Dec 10,7999
Nov 10,8001
Oct 10,8019
Sep 10,8044
Aug 10,8025
Jul 10,7991
Jun 10,7891
May 10,7878
Apr 10,7827
Mar 10,7778
Feb 10,7743
Jan 10,7766
Dec 09,7753
Nov 09,7748
Oct 09,7734
Sep 09,7681
Aug 09,7630
Jul 09,7606
Jun 09,7609
May 09,7570
Apr 09,7557
Mar 09,7598
Feb 09,7586
Jan 09,7587
Dec 08,7578
Nov 08,7597
Oct 08,7525
Sep 08,7519
Aug 08,7531
Jul 08,7526
Jun 08,7533
May 08,7522
Apr 08,7546
Mar 08,7549
Feb 08,7546
Jan 08,7531
Dec 07,7501
Nov 07,7472
Oct 07,7433
Sep 07,7431
Aug 07,7428
Jul 07,7431
Jun 07,7420
May 07,7419
Apr 07,7435
Mar 07,7438
Feb 07,7427
Jan 07,7449
Dec 06,7466
Nov 06,7459
Oct 06,7480
Sep 06,7421
Aug 06,7402
Jul 06,7371
Jun 06,7360
May 06,7319
Apr 06,7328
Mar 06,7344
Feb 06,7309
Jan 06,7274
Dec 05,7257
Nov 05,7276
Oct 05,7288
Sep 05,7303
Aug 05,7311
Jul 05,7335
Jun 05,7333
May 05,7327
Apr 05,7287
Mar 05,7280
Feb 05,7284
Jan 05,7296
Dec 04,7297
Nov 04,7299
Oct 04,7312
Sep 04,7342
Aug 04,7355
Jul 04,7357
Jun 04,7360
May 04,7384
Apr 04,7390
Mar 04,7413
Feb 04,7389
Jan 04,7361
Dec 03,7317
Nov 03,7295
Oct 03,7299
Sep 03,7279
Aug 03,7275
Jul 03,7257
Jun 03,7270
May 03,7279
Apr 03,7263
Mar 03,7224
Feb 03,7181
Jan 03,7149
Dec 02,7159
Nov 02,7180
Oct 02,7211
Sep 02,7156
Aug 02,7157
Jul 02,7112
Jun 02,7130
May 02,7060
Apr 02,7038
Mar 02,7010
Feb 02,7019
Jan 02,7027
Dec 01,7021
Nov 01,6998
Oct 01,6956
Sep 01,6943
Aug 01,6934
Jul 01,6982
Jun 01,6983
May 01,6979
Apr 01,6971
Mar 01,7004
Feb 01,7006
Jan 01,7022
Dec 00,6984
Nov 00,6994
Oct 00,6986
Sep 00,7026
Aug 00,7007
Jul 00,6979
Jun 00,6945
May 00,6921
Apr 00,6919
Mar 00,6912
Feb 00,6896
Jan 00,6844
Dec 99,6865
Nov 99,6824
Oct 99,6831
Sep 99,6821
Aug 99,6828
Jul 99,6817
Jun 99,6810
May 99,6809
Apr 99,6803
Mar 99,6804
Feb 99,6801
Jan 99,6832
Dec 98,6787
Nov 98,6785
Oct 98,6737
Sep 98,6693
Aug 98,6694
Jul 98,6700
Jun 98,6725
May 98,6717
Apr 98,6698
Mar 98,6677
Feb 98,6660
Jan 98,6643
Dec 97,6651
Nov 97,6688
Oct 97,6719
Sep 97,6710
Aug 97,6679
Jul 97,6677
Jun 97,6686
May 97,6667
Apr 97,6648
Mar 97,6629
Feb 97,6635
Jan 97,6624
Dec 96,6614
Nov 96,6580
Oct 96,6574
Sep 96,6553
Aug 96,6571
Jul 96,6548
Jun 96,6515
May 96,6522
Apr 96,6529
Mar 96,6554
Feb 96,6512
Jan 96,6513
Dec 95,6490
Nov 95,6433
Oct 95,6392
Sep 95,6366
Aug 95,6370
Jul 95,6337
Jun 95,6325
May 95,6286
Apr 95,6268
Mar 95,6255
Feb 95,6268
Jan 95,6232
Dec 94,6244
Nov 94,6247
Oct 94,6270
Sep 94,6274
Aug 94,6260
Jul 94,6244
Jun 94,6232
May 94,6236
Apr 94,6225
Mar 94,6207
Feb 94,6167
Jan 94,6186
Dec 93,6163
Nov 93,6175
Oct 93,6144
Sep 93,6127
Aug 93,6103
Jul 93,6077
Jun 93,6070
May 93,6073
Apr 93,6053
Mar 93,6044
Feb 93,6012
Jan 93,5995
Dec 92,6008
Nov 92,6018
Oct 92,6017
Sep 92,6017
Aug 92,6005
Jul 92,6013
Jun 92,6023
May 92,6004
