Month,House price index (2015=100)
Aug '20,128.85
Jul '20,129.73
Jun '20,128.16
May '20,124.14
Apr '20,122.67
Mar '20,124.13
Feb '20,124.41
Jan '20,124.42
Dec '19,124.09
Nov '19,125.99
Oct '19,125.13
Sep '19,124.36
Aug '19,122.4
Jul '19,121.43
Jun '19,120.57
May '19,119.42
Apr '19,118.41
Mar '19,118.64
Feb '19,118.2
Jan '19,119.95
Dec '18,118.67
Nov '18,119.75
Oct '18,119.1
Sep '18,118.55
Aug '18,117.01
Jul '18,115.88
Jun '18,115.7
May '18,114.21
Apr '18,115.15
Mar '18,114.27
Feb '18,113.6
Jan '18,111.34
Dec '17,109.92
Nov '17,110.6
Oct '17,110.44
Sep '17,111.26
Aug '17,109.58
Jul '17,108.19
Jun '17,105.89
May '17,103.56
Apr '17,101.69
Mar '17,101.78
Feb '17,102.15
Jan '17,102.48
Dec '16,101.95
Nov '16,103.34
Oct '16,103.3
Sep '16,103.29
Aug '16,101.1
Jul '16,100.72
Jun '16,99.57
May '16,103.18
Apr '16,103.32
Mar '16,102.74
Feb '16,102.0
Jan '16,103.02
Dec '15,103.83
Nov '15,103.13
Oct '15,102.24
Sep '15,102.62
Aug '15,100.98
Jul '15,100.79
Jun '15,97.68
May '15,102.68
Apr '15,103.73
Mar '15,105.84
Feb '15,101.54
Jan '15,100.0
