Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,58.26
"Finance, insurance, real estate, rental, and leasing",57.94
Professional and business services,32.15
Government and government enterprises,31.06
"Educational services, health care, and social assistance",30.82
Retail trade,18.37
Wholesale trade,18.02
Information,14.25
Construction,10.96
"Arts, entertainment, recreation, accommodation, and food services",8.95
Transportation and warehousing,8.6
"Agriculture, forestry, fishing, and hunting",7.18
Other services (except government and government enterprises),6.31
Utilities,4.65
"Mining, quarrying, and oil and gas extraction",1.68
