Country,Number of people in thousands
Poland,900
Romania,450
India,365
Republic of Ireland,320
Italy,304
Portugal,251
Pakistan,207
France,191
Lithuania,189
Spain,188
Germany,143
United States of America,140
Bulgaria,121
China,112
Hungary,109
Latvia,100
Nigeria,98
Netherlands,88
Australia,86
South Africa,86
Slovakia,80
Philippines,74
Greece,66
Bangladesh,65
Brazil,54
Sweden,53
Nepal,51
Canada,49
Syria,47
Ghana,46
Zimbabwe,45
Sri Lanka,45
Turkey,43
New Zealand,42
Iran,39
Malaysia,38
Afghanistan,37
Czech Republic,37
Albania,36
Russia,36
Jamaica,35
Somalia,35
Japan,33
Iraq,32
Belgium,30
Thailand,25
Ukraine,25
Norway,22
Denmark,22
Sudan,22
Saudi Arabia,19
Moldova,18
Finland,17
Egypt,17
Switzerland,17
Colombia,16
Eritrea,14
Cyprus (European Union),13
Kenya,13
Vietnam,13
