Month,RPI rate
Nov 20,0.9%
Oct 20,1.3%
Sep 20,1.1%
Aug 20,0.5%
Jul 20,1.6%
Jun 20,1.1%
May 20,1%
Apr 20,1.5%
Mar 20,2.6%
Feb 20,2.5%
Jan 20,2.7%
Dec 19,2.2%
Nov 19,2.2%
Oct 19,2.1%
Sep 19,2.4%
Aug 19,2.6%
Jul 19,2.8%
Jun 19,2.9%
May 19,3%
Apr 19,3%
Mar 19,2.4%
Feb 19,2.5%
Jan 19,2.5%
Dec 18,2.7%
Nov 18,3.2%
Oct 18,3.3%
Sep 18,3.3%
Aug 18,3.5%
Jul 18,3.2%
Jun 18,3.4%
May 18,3.3%
Apr 18,3.4%
Mar 18,3.3%
Feb 18,3.6%
Jan 18,4%
Dec 17,4.1%
Nov 17,3.9%
Oct 17,4%
Sep 17,3.9%
Aug 17,3.9%
Jul 17,3.6%
Jun 17,3.5%
May 17,3.7%
Apr 17,3.5%
Mar 17,3.1%
Feb 17,3.2%
Jan 17,2.6%
Dec 16,2.5%
Nov 16,2.2%
Oct 16,2%
Sep 16,2%
Aug 16,1.8%
Jul 16,1.9%
Jun 16,1.6%
May 16,1.4%
Apr 16,1.3%
Mar 16,1.6%
Feb 16,1.3%
Jan 16,1.3%
Dec 15,1.2%
Nov 15,1.1%
Oct 15,0.7%
Sep 15,0.8%
Aug 15,1.1%
Jul 15,1%
Jun 15,1%
May 15,1%
Apr 15,0.9%
Mar 15,0.9%
Feb 15,1%
Jan 15,1.1%
Dec 14,1.6%
Nov 14,2%
Oct 14,2.3%
Sep 14,2.3%
Aug 14,2.4%
Jul 14,2.5%
Jun 14,2.6%
May 14,2.4%
Apr 14,2.5%
Mar 14,2.5%
Feb 14,2.7%
Jan 14,2.8%
Dec 13,2.7%
Nov 13,2.6%
Oct 13,2.6%
Sep 13,3.2%
Aug 13,3.3%
Jul 13,3.1%
Jun 13,3.3%
May 13,3.1%
Apr 13,2.9%
Mar 13,3.3%
Feb 13,3.2%
Jan 13,3.3%
Dec 12,3.1%
Nov 12,3%
Oct 12,3.2%
Sep 12,2.6%
Aug 12,2.9%
Jul 12,3.2%
Jun 12,2.8%
May 12,3.1%
Apr 12,3.5%
Mar 12,3.6%
Feb 12,3.7%
Jan 12,3.9%
Dec 11,4.8%
Nov 11,5.2%
Oct 11,5.4%
Sep 11,5.6%
Aug 11,5.2%
Jul 11,5%
Jun 11,5%
May 11,5.2%
Apr 11,5.2%
Mar 11,5.3%
Feb 11,5.5%
Jan 11,5.1%
Dec 10,4.8%
Nov 10,4.7%
Oct 10,4.5%
Sep 10,4.6%
Aug 10,4.7%
Jul 10,4.8%
Jun 10,5%
May 10,5.1%
Apr 10,5.3%
Mar 10,4.4%
Feb 10,3.7%
Jan 10,3.7%
Dec 09,2.4%
Nov 09,0.3%
Oct 09,-0.8%
Sep 09,-1.4%
Aug 09,-1.3%
Jul 09,-1.4%
Jun 09,-1.6%
May 09,-1.1%
Apr 09,-1.2%
Mar 09,-0.4%
Feb 09,0%
Jan 09,0.1%
Dec 08,0.9%
Nov 08,3%
Oct 08,4.2%
Sep 08,5%
Aug 08,4.8%
Jul 08,5%
Jun 08,4.6%
May 08,4.3%
Apr 08,4.2%
Mar 08,3.8%
Feb 08,4.1%
Jan 08,4.1%
Dec 07,4%
Nov 07,4.3%
Oct 07,4.2%
Sep 07,3.9%
Aug 07,4.1%
Jul 07,3.8%
Jun 07,4.4%
May 07,4.3%
Apr 07,4.5%
Mar 07,4.8%
Feb 07,4.6%
Jan 07,4.2%
Dec 06,4.4%
Nov 06,3.9%
Oct 06,3.7%
Sep 06,3.6%
Aug 06,3.4%
Jul 06,3.3%
Jun 06,3.3%
May 06,3%
Apr 06,2.6%
Mar 06,2.4%
Feb 06,2.4%
Jan 06,2.4%
Dec 05,2.2%
Nov 05,2.4%
Oct 05,2.5%
Sep 05,2.7%
Aug 05,2.8%
Jul 05,2.9%
Jun 05,2.9%
May 05,2.9%
Apr 05,3.2%
Mar 05,3.2%
Feb 05,3.2%
Jan 05,3.2%
Dec 04,3.5%
Nov 04,3.4%
Oct 04,3.3%
Sep 04,3.1%
Aug 04,3.2%
Jul 04,3%
Jun 04,3%
May 04,2.8%
Apr 04,2.5%
Mar 04,2.6%
Feb 04,2.5%
Jan 04,2.6%
Dec 03,2.8%
Nov 03,2.5%
Oct 03,2.6%
Sep 03,2.8%
Aug 03,2.9%
Jul 03,3.1%
Jun 03,2.9%
May 03,3%
Apr 03,3.1%
Mar 03,3.1%
Feb 03,3.2%
Jan 03,2.9%
Dec 02,2.9%
Nov 02,2.6%
Oct 02,2.1%
Sep 02,1.7%
Aug 02,1.4%
Jul 02,1.5%
Jun 02,1%
May 02,1.1%
Apr 02,1.5%
Mar 02,1.3%
Feb 02,1%
Jan 02,1.3%
Dec 01,0.7%
Nov 01,0.9%
Oct 01,1.6%
Sep 01,1.7%
Aug 01,2.1%
Jul 01,1.6%
Jun 01,1.9%
May 01,2.1%
Apr 01,1.8%
Mar 01,2.3%
Feb 01,2.7%
Jan 01,2.7%
Dec 00,2.9%
Nov 00,3.2%
Oct 00,3.1%
Sep 00,3.3%
Aug 00,3%
Jul 00,3.3%
Jun 00,3.3%
May 00,3.1%
Apr 00,3%
Mar 00,2.6%
Feb 00,2.3%
Jan 00,2%
Dec 99,1.8%
Nov 99,1.4%
Oct 99,1.2%
Sep 99,1.1%
Aug 99,1.1%
Jul 99,1.3%
Jun 99,1.3%
May 99,1.3%
Apr 99,1.6%
Mar 99,2.1%
Feb 99,2.1%
Jan 99,2.4%
Dec 98,2.8%
Nov 98,3%
Oct 98,3.1%
Sep 98,3.2%
Aug 98,3.3%
Jul 98,3.5%
