asset manager,Total AUM in million U.S. dollars
APG (Netherlands),462592
Aegon Asset Management (Netherlands),315628
NN Investment Partners (Netherlands),246090
PGGM (Netherlands),211000
Robeco (Netherlands),161886
MN (Netherlands),129006
Achmea Investment Management (Netherlands),128995
Candriam Investors Group (Belgium),114895
KBC Asset Management (Belgium),98465
CVC Capital Partners (Luxembourg/UK),65517
Kempen Capital Management (Netherlands),58889
ASR Vermogensbeheer (Netherlands),56224
Actiam (Netherlands),56105
Degroof Petercam Asset Management (Belgium),50549
Quilvest (Luxembourg),36000
InsingerGilissen (Netherlands),23700
SPF Beheer (Netherlands),20665
DMFCO - Dutch Mortgage Funding Co. (Netherlands),12400
Sparinvest (Luxembourg),11600
Bouwinvest (Netherlands),11278
TKP Investments (Netherlands),-
