State,Number of veterans
California,1471467
Texas,1405059
Florida,1402264
Pennsylvania,710375
Ohio,663232
Virginia,655698
New York,655055
North Carolina,641993
Georgia,616527
Illinois,526153
Washington,523852
Michigan,520129
Arizona,478354
Tennessee,422161
Missouri,382548
Colorado,367292
Indiana,364594
South Carolina,354669
Maryland,350423
Alabama,318254
Wisconsin,315574
New Jersey,302777
Massachusetts,277814
Minnesota,276686
Oregon,263885
Oklahoma,261559
Kentucky,250036
Louisiana,229938
Nevada,212507
Iowa,185254
Arkansas,184996
Kansas,165033
Connecticut,156499
Mississippi,153873
New Mexico,135230
West Virginia,121084
Idaho,120919
Utah,115363
Nebraska,112177
Maine,97439
New Hampshire,93866
Hawaii,90368
Montana,86270
Delaware,68252
Alaska,57225
South Dakota,57032
Rhode Island,49471
North Dakota,46041
Wyoming,41390
Vermont,35114
District of Columbia,24580
