Year,Gross domestic product in billion international dollars
2021*,264.27
2020*,251.43
2019*,265.88
2018,258.79
2017,248.58
2016,236.65
2015,228.04
2014,224.47
2013,221.2
2012,219.36
2011,218.29
2010,208.51
2009,199.74
2008,215.64
2007,209.88
2006,194.11
2005,181.11
2004,170.89
2003,160.02
2002,154.02
2001,149.08
2000,142.17
1999,131.47
1998,124.16
1997,116.42
1996,107.63
1995,101.96
1994,95.82
1993,90.24
1992,88.74
1991,89.72
1990,92.21
1989,88.7
1988,81.22
1987,74.57
1986,70.27
1985,67.05
1984,62.78
