Month,Index level*
Jan '16,103.9
Feb '16,104.1
Mar '16,104.4
Apr '16,104.7
May '16,104.8
Jun '16,104.9
Jul '16,105.0
Aug '16,105.3
Sep '16,105.5
Oct '16,105.7
Nov '16,105.7
Dec '16,105.8
Jan '17,106.1
Feb '17,106.1
Mar '17,106.0
Apr '17,106.1
May '17,106.3
Jun '17,106.3
Jul '17,106.5
Aug '17,106.5
Sep '17,106.5
Oct '17,106.5
Nov '17,106.4
Dec '17,106.2
Jan '18,106.3
Feb '18,106.2
Mar '18,106.1
Apr '18,106.1
May '18,106.1
Jun '18,106.1
Jul '18,106.2
Aug '18,106.3
Sep '18,106.3
Oct '18,106.3
Nov '18,106.3
Dec '18,106.4
Jan '19,106.4
Feb '19,106.5
Mar '19,106.6
Apr '19,106.7
May '19,107.0
Jun '19,107.0
Jul '19,107.2
Aug '19,107.1
Sep '19,107.2
Oct '19,107.3
Nov '19,107.4
Dec '19,107.6
Jan '20,107.7
Feb '20,107.7
Mar '20,107.9
Apr '20,108.0
May '20,108.2
Jun '20,108.3
Jul '20,108.3
