State,Real GDP in billion chained (2012) U.S. dollars
California,2742.92
Texas,1713.36
New York,1404.85
Florida,946.13
Illinois,751.38
Pennsylvania,700.45
Ohio,597.31
Washington,555.01
Georgia,539.84
New Jersey,538.51
North Carolina,504.66
Massachusetts,504.49
Virginia,481.35
Michigan,452.64
Maryland,367.49
Colorado,354.24
Indiana,332.61
Minnesota,332.32
Arizona,324.68
Tennessee,315.61
Wisconsin,298.69
Missouri,280.34
Connecticut,242.77
Louisiana,229.02
Oregon,221.43
South Carolina,208.83
Alabama,197.74
Kentucky,186.24
Oklahoma,186.08
Iowa,171.84
Utah,171.39
Kansas,157.06
Nevada,148.79
District of Columbia,122.93
Nebraska,115.89
Arkansas,115.57
Mississippi,101.01
New Mexico,96.09
Hawaii,75.66
Idaho,75.3
New Hampshire,74.4
West Virginia,68.94
Delaware,62.52
Maine,56.97
North Dakota,52.09
Rhode Island,51.81
Alaska,50.89
South Dakota,47.09
Montana,46.85
Wyoming,36.28
Vermont,28.52
