Industry,Value added in billion U.S. dollars
"Finance, insurance, real estate, rental, and leasing",4491.7
Professional and business services,2742.2
Government,2630.9
Manufacturing,2359.9
"Educational services, health care, and social assistance",1881.4
Wholesale trade,1278.1
Retail trade,1172.9
Information,1120.3
"Arts, entertainment, recreation, accommodation, and food services",898.5
Construction,886.6
Transportation and warehousing,684.5
"Other services, except government",456.6
Utilities,334.6
Mining,320.3
"Agriculture, forestry, fishing, and hunting",169.2
