Month,Index score (2015=100)
Nov 20,108.9
Oct 20,109.1
Sep 20,109.1
Aug 20,108.6
Jul 20,109.1
Jun 20,108.6
May 20,108.5
Apr 20,108.5
Mar 20,108.6
Feb 20,108.6
Jan 20,108.2
Dec 19,108.5
Nov 19,108.5
Oct 19,108.3
Sep 19,108.5
Aug 19,108.4
Jul 19,107.9
Jun 19,107.9
May 19,107.9
Apr 19,107.6
Mar 19,107.0
Feb 19,106.8
Jan 19,106.3
Dec 18,107.1
Nov 18,107.0
Oct 18,106.7
Sep 18,106.6
Aug 18,106.5
Jul 18,105.8
Jun 18,105.8
May 18,105.8
Apr 18,105.4
Mar 18,105.0
Feb 18,104.9
Jan 18,104.4
Dec 17,104.9
Nov 17,104.6
Oct 17,104.2
Sep 17,104.1
Aug 17,103.8
Jul 17,103.2
Jun 17,103.3
May 17,103.3
Apr 17,102.9
Mar 17,102.5
Feb 17,102.1
Jan 17,101.4
Dec 16,101.9
Nov 16,101.4
Oct 16,101.2
Sep 16,101.1
Aug 16,100.9
Jul 16,100.6
Jun 16,100.6
May 16,100.4
Apr 16,100.2
Mar 16,100.2
Feb 16,99.8
Jan 16,99.5
Dec 15,100.3
Nov 15,100.3
Oct 15,100.3
Sep 15,100.2
Aug 15,100.3
Jul 15,100.0
Jun 15,100.2
May 15,100.1
Apr 15,99.9
Mar 15,99.7
Feb 15,99.5
Jan 15,99.3
Dec 14,100.1
Nov 14,100.1
Oct 14,100.4
Sep 14,100.3
Aug 14,100.2
Jul 14,99.9
Jun 14,100.2
May 14,100.0
Apr 14,100.1
Mar 14,99.7
Feb 14,99.5
Jan 14,99.0
Dec 13,99.6
Nov 13,99.2
Oct 13,99.1
Sep 13,99.1
Aug 13,98.7
Jul 13,98.3
Jun 13,98.3
May 13,98.5
Apr 13,98.3
Mar 13,98.1
Feb 13,97.8
Jan 13,97.1
Dec 12,97.6
Nov 12,97.2
Oct 12,97.0
Sep 12,96.5
Aug 12,96.1
Jul 12,95.6
Jun 12,95.5
May 12,95.9
Apr 12,96.0
Mar 12,95.4
Feb 12,95.1
Jan 12,94.6
Dec 11,95.1
Nov 11,94.6
Oct 11,94.5
Sep 11,94.4
Aug 11,93.8
Jul 11,93.3
Jun 11,93.3
May 11,93.4
Apr 11,93.2
Mar 11,92.2
Feb 11,92.0
Jan 11,91.3
Dec 10,91.2
Nov 10,90.3
Oct 10,90.0
Sep 10,89.8
Aug 10,89.8
Jul 10,89.3
Jun 10,89.5
May 10,89.4
Apr 10,89.2
Mar 10,88.7
Feb 10,88.2
Jan 10,87.8
Dec 09,88.0
Nov 09,87.5
Oct 09,87.2
Sep 09,87.1
Aug 09,87.0
Jul 09,86.7
Jun 09,86.7
May 09,86.4
Apr 09,86.0
Mar 09,85.8
Feb 09,85.6
Jan 09,84.9
Dec 08,85.5
Nov 08,85.8
Oct 08,85.9
Sep 08,86.1
Aug 08,85.7
Jul 08,85.1
Jun 08,85.2
May 08,84.6
Apr 08,84.0
Mar 08,83.4
Feb 08,83.0
Jan 08,82.4
Dec 07,83.0
Nov 07,82.5
Oct 07,82.3
Sep 07,81.9
Aug 07,81.8
Jul 07,81.5
Jun 07,82.0
May 07,81.8
Apr 07,81.6
Mar 07,81.4
Feb 07,81.0
Jan 07,80.6
Dec 06,81.3
Nov 06,80.8
Oct 06,80.6
Sep 06,80.5
Aug 06,80.4
Jul 06,80.0
Jun 06,80.1
May 06,79.9
Apr 06,79.4
Mar 06,78.9
Feb 06,78.8
Jan 06,78.5
Dec 05,78.9
Nov 05,78.7
Oct 05,78.7
Sep 05,78.6
Aug 05,78.4
Jul 05,78.2
Jun 05,78.1
May 05,78.1
Apr 05,77.8
Mar 05,77.5
Feb 05,77.2
Jan 05,77.0
Dec 04,77.4
Nov 04,77.0
Oct 04,76.9
Sep 04,76.7
Aug 04,76.6
Jul 04,76.4
Jun 04,76.6
May 04,76.6
Apr 04,76.4
Mar 04,76.1
Feb 04,76.0
Jan 04,75.8
Dec 03,76.2
Nov 03,75.9
Oct 03,76.0
Sep 03,75.9
Aug 03,75.6
Jul 03,75.3
Jun 03,75.4
May 03,75.5
Apr 03,75.5
Mar 03,75.3
Feb 03,75.0
Jan 03,74.7
Dec 02,75.2
Nov 02,74.9
Oct 02,74.9
Sep 02,74.8
Aug 02,74.6
Jul 02,74.4
Jun 02,74.6
May 02,74.6
Apr 02,74.4
Mar 02,74.1
Feb 02,73.8
Jan 02,73.7
Dec 01,74.0
Nov 01,73.8
Oct 01,73.9
Sep 01,74.1
Aug 01,73.9
Jul 01,73.6
Jun 01,74.1
May 01,74.0
Apr 01,73.4
Mar 01,73.0
Feb 01,72.7
Jan 01,72.6
Dec 00,73.2
Nov 00,73.2
Oct 00,73.1
Sep 00,73.1
Aug 00,72.5
Jul 00,72.5
Jun 00,72.9
May 00,72.8
Apr 00,72.6
Mar 00,72.3
Feb 00,72.2
Jan 00,71.9
Dec 99,72.6
Nov 99,72.4
Oct 99,72.3
Sep 99,72.4
Aug 99,72.1
Jul 99,71.9
Jun 99,72.3
May 99,72.4
Apr 99,72.2
Mar 99,71.9
Feb 99,71.5
Jan 99,71.4
Dec 98,71.8
Nov 98,71.6
Oct 98,71.5
Sep 98,71.5
Aug 98,71.2
Jul 98,71.0
Jun 98,71.3
May 98,71.4
Apr 98,71.1
Mar 98,70.7
Feb 98,70.5
Jan 98,70.3
Dec 97,70.7
Nov 97,70.6
Oct 97,70.6
Sep 97,70.6
Aug 97,70.3
Jul 97,69.9
Jun 97,70.2
May 97,70.0
Apr 97,69.8
Mar 97,69.5
Feb 97,69.4
Jan 97,69.2
Dec 96,69.5
Nov 96,69.3
Oct 96,69.3
Sep 96,69.3
Aug 96,68.9
Jul 96,68.6
Jun 96,69.0
May 96,68.9
Apr 96,68.7
Mar 96,68.4
Feb 96,68.1
Jan 96,67.8
Dec 95,68.0
Nov 95,67.6
Oct 95,67.6
Sep 95,67.7
Aug 95,67.4
Jul 95,67.1
Jun 95,67.4
May 95,67.4
Apr 95,67.0
Mar 95,66.7
Feb 95,66.3
Jan 95,66.0
Dec 94,66.0
Nov 94,65.7
Oct 94,65.7
Sep 94,65.8
Aug 94,65.7
Jul 94,65.4
Jun 94,65.8
May 94,65.8
Apr 94,65.5
Mar 94,65.0
Feb 94,64.8
Jan 94,64.5
Dec 93,64.7
Nov 93,64.6
Oct 93,64.7
Sep 93,64.8
Aug 93,64.5
Jul 93,64.2
Jun 93,64.5
May 93,64.5
Apr 93,64.3
Mar 93,63.6
Feb 93,63.2
Jan 93,62.8
Dec 92,63.2
Nov 92,63.1
Oct 92,63.1
Sep 92,62.9
Aug 92,62.7
Jul 92,62.6
Jun 92,62.9
May 92,62.9
Apr 92,62.7
Mar 92,62.0
Feb 92,61.7
Jan 92,61.4
Dec 91,61.6
Nov 91,61.5
Oct 91,61.3
Sep 91,61.1
Aug 91,60.9
Jul 91,60.5
Jun 91,60.6
May 91,60.3
Apr 91,59.9
Mar 91,57.9
Feb 91,57.7
Jan 91,57.4
Dec 90,57.5
Nov 90,57.5
Oct 90,57.4
Sep 90,57.0
Aug 90,56.4
Jul 90,55.8
Jun 90,55.9
May 90,55.7
Apr 90,55.2
Mar 90,54.2
Feb 90,54.0
Jan 90,53.6
Dec 89,53.4
Nov 89,53.3
Oct 89,53.1
Sep 89,52.7
Aug 89,52.4
Jul 89,52.3
Jun 89,52.3
May 89,52.2
Apr 89,51.9
Mar 89,51.2
Feb 89,51.0
Jan 89,50.8
Dec 88,50.6
Nov 88,50.5
Oct 88,50.3
Sep 88,50.1
Aug 88,49.9
Jul 88,49.7
Jun 88,49.7
May 88,49.5
Apr 88,49.3
Mar 88,48.7
Feb 88,48.6
Jan 88,48.4
