Response,Share of college graduates
"Boulder, CO",64.8%
"Corvallis, OR",57.9%
"Ithaca, NY",56.9%
"Ann Arbor, MI",55.9%
"San Jose-Sunnyvale-Santa Clara, CA",52.7%
"San Francisco-Oakland-Berkeley, CA",51.4%
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51.4%
"Boston-Cambridge-Newton, MA-NH",49.3%
"Charlottesville, VA",49.2%
"Bridgeport-Stamford-Norwalk, CT",49.1%
"Fort Collins, CO",49%
"Iowa City, IA",48.8%
"Madison, WI",48.6%
"Raleigh-Cary, NC",48%
"Barnstable Town, MA",47.1%
"Lawrence, KS",47.1%
"Durham-Chapel Hill, NC",46.3%
"Austin-Round Rock-Georgetown, TX",46.2%
"Bloomington, IL",45.8%
"Denver-Aurora-Lakewood, CO",45.8%
"Ames, IA",44.6%
"Burlington-South Burlington, VT",44.6%
"Champaign-Urbana, IL",44.5%
"Trenton-Princeton, NJ",44.5%
"Missoula, MT",44.4%
"Seattle-Tacoma-Bellevue, WA",44.1%
"Columbia, MO",44%
"Santa Cruz-Watsonville, CA",43.8%
"State College, PA",43.8%
"Minneapolis-St. Paul-Bloomington, MN-WI",43.2%
"Athens-Clarke County, GA",42.4%
"Portland-South Portland, ME",42.3%
"Baltimore-Columbia-Towson, MD",41.9%
"New York-Newark-Jersey City, NY-NJ-PA",41.8%
"Auburn-Opelika, AL",41.4%
"Rochester, MN",41.2%
"Bloomington, IN",41%
"Provo-Orem, UT",40.6%
"Fargo, ND-MN",40.4%
"Portland-Vancouver-Hillsboro, OR-WA",40.3%
"Huntsville, AL",40.2%
"Santa Fe, NM",40.1%
"Atlanta-Sandy Springs-Alpharetta, GA",39.9%
"San Diego-Chula Vista-Carlsbad, CA",39.9%
"Hartford-East Hartford-Middletown, CT",39.7%
"Lincoln, NE",39.7%
"Flagstaff, AZ",39.6%
"Albany-Schenectady-Troy, NY",39.5%
"Wilmington, NC",39.3%
"Chicago-Naperville-Elgin, IL-IN-WI",39.2%
