Response,Share of students that reported being bullied
Russia,37%
Latvia,35%
Romania,34%
Bulgaria,34%
Malta,32%
Kosovo,32%
Czechia,30%
Slovakia,28%
Greece,27%
United Kingdom,27%
Poland,26%
Serbia,26%
Estonia,25%
Montenegro,25%
Bosnia and Herzegovina,25%
Albania,25%
Turkey,24%
Italy,24%
Moldova,24%
Germany,23%
Lithuania,23%
Austria,23%
Hungary,23%
Ireland,23%
Switzerland,22%
Ukraine,22%
Denmark,21%
Slovenia,21%
Luxembourg,21%
France,20%
Norway,19%
Sweden,19%
Belarus,19%
Belgium,19%
Finland,18%
Croatia,18%
Iceland,17%
Spain,17%
Portugal,14%
Netherlands,12%
