Year,Number of confirmed cases
"5 Jan, 21",1982544
"4 Jan, 21",1958844
31 Dec,1928265
30 Dec,1910218
29 Dec,1893502
28 Dec,1879413
24 Dec,1854951
23 Dec,1842289
22 Dec,1829903
21 Dec,1819249
18 Dec,1797236
17 Dec,1785421
16 Dec,1773290
15 Dec,1762212
14 Dec,1751884
11 Dec,1730575
10 Dec,1720056
9 Dec,1712101
7 Dec,1702328
4 Dec,1684647
3 Dec,1675902
2 Dec,1665775
1 Dec,1656444
30 Nov,1648187
27 Nov,1628208
26 Nov,1617355
25 Nov,1605066
24 Nov,1594844
23 Nov,1582616
20 Nov,1556730
19 Nov,1541574
18 Nov,1525341
17 Nov,1510023
16 Nov,1496864
13 Nov,1458591
12 Nov,1437220
11 Nov,1417709
10 Nov,1398613
9 Nov,1381218
6 Nov,1328832
5 Nov,1306316
4 Nov,1284408
3 Nov,1259366
2 Nov,1240697
30 Oct,1185678
29 Oct,1160083
28 Oct,1136503
27 Oct,1116738
26 Oct,1098320
23 Oct,1046132
22 Oct,1026281
21 Oct,1005295
20 Oct,988322
19 Oct,974449
16 Oct,936560
15 Oct,921374
14 Oct,908056
13 Oct,896086
12 Oct,888968
9 Oct,861112
8 Oct,848324
7 Oct,835901
6 Oct,825410
5 Oct,813412
2 Oct,789932
1 Oct,778607
30 Sep,769188
29 Sep,758172
28 Sep,748266
25 Sep,716481
24 Sep,704209
23 Sep,693556
22 Sep,682267
21 Sep,671468
18 Sep,640040
17 Sep,625651
16 Sep,614360
15 Sep,603167
14 Sep,593730
11 Sep,566326
10 Sep,554143
9 Sep,543379
8 Sep,534513
7 Sep,525549
4 Sep,498989
3 Sep,488513
2 Sep,479554
1 Sep,470973
31-Aug,462858
28-Aug,439286
27-Aug,429507
26-Aug,419849
25-Aug,412553
24-Aug,405436
21-Aug,386054
20-Aug,377906
19-Aug,370867
18-Aug,364196
17--Aug,359082
14-Aug,342813
13-Aug,337334
12-Aug,329784
11-Aug,326612
10-Aug,322980
7-Aug,314362
6-Aug,309855
5-Aug,305767
4-Aug,302814
3-Aug,297054
31-Jul,288522
30-Jul,285430
29-Jul,282641
28-Jul,280610
27-Jul,278782
24-Jul,271421
23-Jul,270166
22-Jul,267551
21-Jul,266194
20-Jul,264836
17-Jul,260255
16-Jul,258855
15-Jul,257494
14-Jul,256619
13-Jul,255953
10-Jul,253908
9-Jul,253056
8-Jul,252513
7-Jul,252130
6-Jul,251789
3-Jul,250545
2-Jul,250103
1-Jul,249659
30-Jun,249271
29-Jun,248970
28-Jun,248770
27-Jun,248469
26-Jun,247905
25 -Jun,247486
24 -Jun,247086
23-Jun,246752
22-Jun,246504
21-Jun,246272
20 -Jun,245938
19-Jun,245575
18-Jun,245268
17-Jun,244683
16 -Jun,244328
15-Jun,244109
14-Jun,243928
13-Jun,243605
12-Jun,243209
11-Jun,242707
10-Jun,242289
9-Jun,241966
8-Jun,241717
7 -Jun,241550
6-Jun,241310
5-Jun,240978
4-Jun,240660
3-Jun,240326
2-Jun,239932
1-Jun,239638
31-May,239429
30-May,239228
29-May,238564
28-May,237906
27-May,236769
26-May,236259
25-May,235400
24-May,235772
23-May,235290
22 -May,234824
21-May,233037
20-May,232555
19-May,232037
18-May,231606
17-May,231350
16-May,230698
15-May,230183
14-May,229540
13-May,228691
12-May,228030
11-May,227436
10-May,224390
9-May,223578
8-May,222857
7-May,221447
6-May,220325
5-May,219329
4-May,218011
3-May,217466
2-May,216582
1-May,215435
30-Apr,213435
29-Apr,212917
28-Apr,210773
27-Apr,209465
26-Apr,207634
25-Apr*,223759
24-Apr,219764
23-Apr,213024
22-Apr,208389
21-Apr,204178
20-Apr,200210
19-Apr,195944
18-Apr,191726
17-Apr,188068
16-Apr,182816
15-Apr,177633
14-Apr,172541
13-Apr,169496
12-Apr,166019
11-Apr,161852
10-Apr,157022
9-Apr,152446
8-Apr,146690
7-Apr,140510
6-Apr,135032
5-Apr,130769
4-Apr,124736
3-Apr,117710
2-Apr,110238
1-Apr,102136
31-Mar,94417
30-Mar,85195
29-Mar,78797
28-Mar,72248
27-Mar,64059
26-Mar,56188
25-Mar,47610
24-Mar,39673
23-Mar,33089
22-Mar,28572
21-Mar,24926
20-Mar,19980
19-Mar,17147
18-Mar,13716
17-Mar,11178
16-Mar,9191
15-Mar,7753
14-Mar,5753
13-Mar,4231
12-Mar,2965
11-Mar,2140
10-Mar,1634
9-Mar,1204
6-Mar,365
5-Mar,237
4-Mar,197
3-Mar,114
28-Feb,31
27-Feb,16
26-Feb,7
25-Feb,3
12-Feb,2
