basketball team,Concession stand price in U.S. dollars
Phoenix Suns (32),6.25
Golden State Warriors (20),6.0
Chicago Bulls (24),5.75
New York Knicks (24),5.5
Los Angeles Lakers (21),5.25
Boston Celtics (14),5.0
Los Angeles Clippers (16),5.0
Portland Trail Blazers (16),5.0
Brooklyn Nets (16),5.0
Minnessota Timberwolves (24),5.0
Miami Heat (24),5.0
Sacramento Kings (16),4.75
Milwaukee Bucks (20),4.75
Denver Nuggets (16),4.5
Detroit Pistons (20),4.5
Atlanta Hawks (20),4.5
Charlotte Bobcats (22),4.5
Indiana Pacers (24),4.5
NBA league average (19),4.49
Toronto Raptors (14),4.36
Orlando Magic (16),4.25
Houston Rockets (22),4.25
New Orleans Pelicans (12),4.0
Washington Wizards (16),4.0
Philadelphia 76ers (16),4.0
Memphis Grizzlies (20),4.0
Utah Jazz (22),3.5
Cleveland Cavaliers (16),3.0
Dallas Mavericks (16),3.0
Oklahoma City Thunder (16),3.0
San Antonio Spurs (16),2.5
