year,Wii,GameCube,Nintendo 64,Wii U,Nintendo Switch,Nintendo 3DS
FY '20,-,-,-,-,21.03,0.69
FY '19,-,-,-,-,16.95,2.55
FY '18,-,-,-,-,15.05,6.4
FY '17,-,-,-,0.76,2.74,7.27
FY '16,0.11,-,-,3.26,-,6.79
FY '15,0.46,-,-,3.38,-,8.73
FY '14,1.22,-,-,2.72,-,12.24
FY '13,3.98,-,-,3.45,-,13.95
FY '12,9.84,-,-,-,-,13.53
FY '11,15.08,-,-,-,-,3.61
FY '10,20.53,-,-,-,-,-
FY '09,25.95,-,-,-,-,-
FY '08,18.61,0.16,-,-,-,-
FY '07,5.84,0.73,-,-,-,-
FY '06,-,2.35,-,-,-,-
FY '05,-,3.92,-,-,-,-
FY '04,-,5.02,-,-,-,-
FY '03,-,5.76,0.01,-,-,-
FY '02,-,3.8,0.5,-,-,-
FY '01,-,-,2.85,-,-,-
FY '00,-,-,6.49,-,-,-
FY '99,-,-,7.86,-,-,-
FY '98,-,-,9.42,-,-,-
FY '97,-,-,5.8,-,-,-
