Month,Infected,Cured,Deaths
Mar 1,3,0,0
Mar 2,3,0,0
Mar 3,5,0,0
Mar 4,5,0,0
Mar 5,8,0,0
Mar 6,19,0,0
Mar 7,26,0,0
Mar 8,32,0,0
Mar 9,38,0,0
Mar 10,63,0,0
Mar 11,94,0,0
Mar 12,116,0,0
Mar 13,141,0,0
Mar 14,189,0,0
Mar 15,298,0,0
Mar 16,344,3,0
Mar 17,434,3,0
Mar 18,560,3,0
Mar 19,765,3,0
Mar 20,889,4,0
Mar 21,1047,6,0
Mar 22,1161,6,0
Mar 23,1236,6,1
Mar 24,1394,10,3
Mar 25,1654,10,6
Mar 26,1925,10,9
Mar 27,2279,11,9
Mar 28,2631,11,11
Mar 29,2805,11,16
Mar 30,2956,25,23
Mar 31,3257,45,31
Apr 1,3508,61,39
Apr 2,3805,67,44
Apr 3,4091,72,53
Apr 4,4362,78,59
Apr 5,4543,96,67
Apr 6,4735,121,78
Apr 7,4944,172,88
Apr 8,5221,233,99
Apr 9,5467,301,112
Apr 10,5674,346,119
Apr 11,5831,411,129
Apr 12,5952,464,138
Apr 13,6022,519,143
Apr 14,6111,642,161
Apr 15,6216,819,166
Apr 16,6359,972,169
Apr 17,6499,1174,173
Apr 18,6606,1227,181
Apr 19,6701,1298,186
Apr 20,6838,1559,194
Apr 21,6961,1753,201
Apr 22,7087,1989,208
Apr 23,7138,2152,210
Apr 24,7236,2371,214
Apr 25,7333,2453,218
Apr 26,7387,2545,220
Apr 27,7431,2826,222
Apr 28,7486,2942,225
Apr 29,7563,3096,227
Apr 30,7642,3281,235
May 1,7726,3359,240
May 2,7750,3446,245
May 3,7764,3584,245
May 4,7799,3786,251
May 5,7841,3816,252
May 6,7933,4202,262
May 7,8002,4369,269
May 8,8065,4408,271
May 9,8089,4446,276
May 10,8106,4466,279
May 11,8157,4695,281
May 12,8198,4865,282
May 13,8240,5043,288
May 14,8330,5227,292
May 15,8374,5379,295
May 16,8436,5422,296
May 17,8460,5435,297
May 18,8527,5633,297
May 19,8630,5725,302
May 20,8698,5818,304
May 21,8743,5922,306
May 22,8770,6019,312
May 23,8853,6038,314
May 24,8932,6063,315
May 25,8972,6180,317
May 26,9034,6263,317
May 27,9069,6361,317
May 28,9134,6457,318
May 29,9180,6498,319
May 30,9226,6532,319
May 31,9257,6551,320
Jun 1,9286,6642,321
Jun 2,9334,6681,323
Jun 3,9414,6748,325
Jun 4,9478,6808,325
Jun 5,9520,6880,327
Jun 6,9546,6884,327
Jun 7,9609,6890,327
Jun 8,9670,6979,328
Jun 9,9728,7052,328
Jun 10,9787,7111,328
Jun 11,9826,7124,328
Jun 12,9887,7170,329
Jun 14,9999,7219,329
Jun 15,10027,7245,330
Jun 16,10066,7300,330
Jun 17,10154,7399,333
Jun 18,10230,7436,334
Jun 19,10361,7472,335
Jun 20,10429,7477,336
Jun 21,10448,7477,336
Jun 22,10523,7537,336
Jun 23,10619,7555,339
Jun 24,10728,7588,343
Jun 25,10830,7649,345
Jun 26,10923,7664,346
Jun 29,11604,7710,348
Jun 30,11895,7770,348
Jul 1,11960,7776,348
Jul 3,12248,7848,348
Jul 6,12515,7864,348
Jul 9,12919,8128,352
Jul 13,13174,8246,352
Jul 20,13945,8760,359
Jul 27,15421,11314,373
Aug 3,16800,11605,384
Aug 10,18355,12785,390
Aug 14,19574,13731,393
Aug 24,22056,16342,415
Aug 30,24367,17547,423
Sep 7,28156,19053,436
Oct 12,117110,56203,987
Oct 20,181962,74908,1513
Oct 21,193946,79108,1619
Oct 22,208915,83136,1739
Oct 23,231146,91589,1941
Oct 27,268370,103220,2365
Oct 28,297013,119373,2675
Oct 29,310068,128628,2862
Nov 3,362985,185180,3913
Nov 4,378716,199763,4133
Nov 5,391945,214272,4330
Nov 9,414828,243129,4858
Nov 12,438805,285241,5570
Nov 13,446675,300719,5755
Nov 16,462121,328019,6370
Nov 17,465523,341249,6416
Nov 19,475284,367574,6740
Nov 20,481755,379380,6874
