Year,Low expectation,Medium expectation,High expectation
2036,134277.2,142993.3,150126.3
2035,135201.7,143128.2,149760.8
2034,136124.9,143301.4,149423.4
2033,137047.7,143506.7,149116.7
2032,137968.3,143739.9,148839.5
2031,138883.4,143997.2,148588.6
2030,139787.5,144274.0,148361.0
2029,140679.5,144569.1,148159.7
2028,141555.7,144882.9,147990.5
2027,142412.3,145210.9,147846.2
2026,143244.0,145539.5,147713.8
2025,144032.2,145858.3,147582.4
2024,144763.7,146135.9,147444.9
2023,145420.7,146372.4,147281.9
2022,145988.6,146536.9,147078.8
2021,146412.8,146650.1,146888.2
2020,146706.4,146740.7,146797.7
