Month,Confirmed,Deaths,Cured
Mar 1,0,-,-
Mar 2,0,-,-
Mar 3,1,-,-
Mar 4,1,-,-
Mar 5,1,-,-
Mar 6,1,-,-
Mar 7,1,-,-
Mar 8,3,-,-
Mar 9,6,-,-
Mar 10,8,-,-
Mar 11,10,-,-
Mar 12,16,-,-
Mar 13,17,-,-
Mar 14,26,-,-
Mar 15,30,-,-
Mar 16,34,-,-
Mar 17,60,-,-
Mar 18,71,-,-
Mar 19,86,-,-
Mar 20,111,-,-
Mar 21,124,-,-
Mar 22,139,-,-
Mar 23,180,-,-
Mar 24,197,-,-
Mar 25,221,-,-
Mar 26,244,-,-
Mar 27,280,-,-
Mar 28,305,-,-
Mar 29,347,-,-
Mar 30,376,-,-
Mar 31,398,-,-
Apr 1,446,-,-
Apr 2,458,-,-
Apr 3,493,-,-
Apr 4,509,-,-
Apr 5,533,-,-
Apr 6,542,1,-
Apr 7,548,2,-
Apr 8,577,2,-
Apr 9,589,2,-
Apr 10,612,2,-
Apr 11,630,3,-
Apr 12,651,5,-
Apr 13,653,5,-
Apr 14,657,5,-
Apr 15,666,5,-
Apr 16,675,5,-
Apr 17,682,5,88
Apr 18,712,5,88
Apr 19,727,5,88
Apr 20,739,5,88
Apr 21,748,9,133
Apr 22,761,11,133
Apr 23,778,11,133
Apr 24,784,12,267
Apr 25,804,12,267
Apr 26,812,12,267
Apr 27,818,13,267
Apr 28,836,13,267
Apr 29,849,15,348
Apr 30,858,15,348
May 1,870,16,348
May 2,871,16,348
May 3,879,16,348
May 4,896,16,348
May 5,896,17,348
May 6,900,17,464
May 7,909,18,464
May 8,928,18,464
May 9,930,18,464
May 10,939,18,464
May 11,946,18,464
May 12,950,18,627
May 13,951,19,627
May 14,962,19,627
May 15,970,19,662
May 16,997,19,662
May 17,1008,19,662
May 18,1009,19,662
May 19,1012,21,694
May 20,1016,21,694
May 21,1025,22,694
May 22,1030,22,712
May 23,1046,22,712
May 24,1047,22,712
May 25,1049,22,712
May 26,1053,22,741
May 27,1057,23,741
May 28,1061,24,741
May 29,1064,24,745
May 30,1065,24,745
May 31,1066,24,745
Jun 1,1066,24,745
Jun 2,1071,24,760
Jun 3,1079,24,760
Jun 4,1082,25,760
Jun 5,1085,25,781
Jun 6,1086,25,781
Jun 7,1088,25,781
Jun 8,1088,26,781
Jun 9,1089,26,794
Jun 10,1092,26,794
Jun 11,1094,26,818
Jun 12,1096,27,818
Jun 13,1097,28,845
Jun 14,1097,28,845
Jun 15,1097,28,845
Jun 16,1098,28,875
Jun 17,1104,30,875
Jun 18,1108,30,903
Jun 19,1110,30,903
Jun 20,1111,30,903
Jun 21,1111,30,903
Jun 22,1111,30,903
Jun 23,1111,30,903
Jun 24,1111,30,903
Jun 25,1111,30,903
Jun 26,1112,30,932
Jun 29,1117,30,932
Jun 30,1118,30,974
Jul 1,1121,30,974
Jul 3,1122,30,997
Jul 6,1127,30,1000
Jul 9,1154,30,1019
Jul 13,1174,31,1019
Jul 20,1192,31,1022
Jul 27,1219,31,1045
Aug 3,1246,32,1052
Aug 10,1290,32,1070
Aug 14,1308,32,1078
Aug 24,1337,33,1093
Aug 31,1396,34,1163
Sep 7,1429,35,1187
Oct 12,2765,40,1325
Oct 20,3609,46,1341
Nov 4,6439,79,1444
Nov 12,9381,107,1515
Nov 20,12102,146,1576
