Month and year,Imports,Exports
May20,276.9,561.31
Apr20,297.68,557.81
Mar20,304.87,636.07
Feb20,310.77,637.96
Jan20,329.32,595.84
Dec19,312.4,652.5
Nov19,286.24,677.89
Oct19,331.38,657.26
Sep19,402.71,594.7
Aug19,342.55,669.87
Jul19,344.48,598.16
Jun19,344.16,580.51
May19,345.41,672.94
Apr19,433.62,665.39
Mar19,458.09,673.29
Feb19,319.14,594.45
Jan19,350.49,621.05
Dec18,322.32,520.72
Nov18,335.72,661.33
Oct18,328.44,679.25
Sep18,308.48,720.37
Aug18,346.0,661.31
Jul18,402.44,663.63
Jun18,372.9,767.96
May18,419.67,822.86
Apr18,440.79,855.33
Mar18,422.48,812.43
Feb18,354.22,673.7
Jan18,413.71,661.57
Dec17,304.39,668.52
Nov17,301.37,687.34
Oct17,303.56,682.39
Sep17,300.72,529.74
Aug17,328.75,592.13
Jul17,296.59,615.31
Jun17,310.38,637.82
May17,319.09,603.75
Apr17,291.44,628.64
Mar17,351.55,720.6
Feb17,328.53,606.23
Jan17,321.19,580.53
