Country,Week 10,Week 11,Week 12,Week 13,Week 14
Italy,1%,-6%,-21%,-28%,-31%
Spain,2%,3%,-9%,-15%,-19%
United Kingdom,-2%,-2%,1%,-13%,-17%
Belgium,-2%,-4%,-9%,-22%,-15%
France,4%,2%,-8%,-17%,-
Ireland,2%,3%,-4%,-1%,-11%
Ukraine,-5%,-6%,-12%,-13%,-10%
Slovenia,4%,0%,-10%,-5%,-9%
Austria,-3%,-1%,-7%,-20%,-8%
Portugal,12%,3%,-3%,-16%,-8%
Germany,-3%,0%,-1%,-8%,-7%
Slovakia,4%,0%,-5%,-9%,-7%
Greece,-1%,-3%,-9%,-1%,-6%
Romania,0%,4%,-7%,-5%,-6%
Poland,1%,0%,-7%,-2%,-6%
Hungary,3%,2%,-2%,-2%,-5%
Lithuania,0%,-1%,-5%,-10%,-4%
Latvia,-1%,2%,-2%,-5%,-1%
Czechia,4%,4%,-1%,-9%,0%
Estonia,3%,3%,-3%,-4%,1%
Croatia,-1%,2%,0%,-2%,2%
Finland,0%,0%,-4%,-1%,3%
Norway,2%,5%,0%,4%,4%
Denmark,0%,3%,0%,-6%,5%
Sweden,-2%,3%,1%,-2%,6%
North Macedonia,8%,-2%,1%,7%,8%
Serbia,-2%,5%,4%,3%,13%
Switzerland,-10%,-7%,-12%,5%,14%
Bulgaria,-4%,6%,-2%,5%,15%
