bank,Complaints opened (H2 2019),Complaints closed (H2 2019)
Barclays Bank UK PLC,215.73,217.88
HSBC UK Bank Plc,206.19,206.89
National Westminster Bank Plc,115.32,114.71
Santander UK Plc,111.58,112.34
Lloyds Bank PLC,109.57,107.79
Bank of Scotland plc,77.41,76.63
Nationwide Building Society,45.57,43.83
TSB Bank plc,43.33,43.11
"Royal Bank of Scotland Plc, The",34.48,33.83
Capital One (Europe) plc,23.54,23.67
Clydesdale Bank Plc,17.15,14.88
Tesco Personal Finance PLC,16.23,16.24
Bank of Ireland (UK) Plc,15.67,16.24
Marks & Spencer Financial Services Plc,15.63,15.51
Vanquis Bank Limited,15.16,16.45
