Year and candidate,Democrat,Republican,Unaffiliated,Democratic Republican,Uncast ballot,National Republican,Whig,Constitutional Union,Liberal Republican
2020: Donald Trump,-,8,-,-,-,-,-,-,-
2016: Donald Trump*,-,8,-,-,-,-,-,-,-
2012: Mitt Romney,-,8,-,-,-,-,-,-,-
2008: John McCain,-,8,-,-,-,-,-,-,-
2004: George W. Bush*,-,8,-,-,-,-,-,-,-
2000: George W. Bush*,-,8,-,-,-,-,-,-,-
1996: Bill Clinton*,8,-,-,-,-,-,-,-,-
1992: Bill Clinton*,8,-,-,-,-,-,-,-,-
1988: George H. W. Bush*,-,9,-,-,-,-,-,-,-
1984: Ronald Reagan*,-,9,-,-,-,-,-,-,-
1980: Ronald Reagan*,-,9,-,-,-,-,-,-,-
1976: Jimmy Carter*,9,-,-,-,-,-,-,-,-
1972: Richard Nixon*,-,9,-,-,-,-,-,-,-
1968: Richard Nixon*,-,9,-,-,-,-,-,-,-
1964: Lyndon B. Johnson*,9,-,-,-,-,-,-,-,-
1960: Richard Nixon,-,10,-,-,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,10,-,-,-,-,-,-,-
1952: Adlai Stevenson,10,-,-,-,-,-,-,-,-
1948: Harry S. Truman*,11,-,-,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,11,-,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,11,-,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,11,-,-,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,11,-,-,-,-,-,-,-,-
1928: Herbert Hoover*,-,13,-,-,-,-,-,-,-
1924: Calvin Coolidge*,-,13,-,-,-,-,-,-,-
1920: James M. Cox,13,-,-,-,-,-,-,-,-
1916: Woodrow Wilson*,13,-,-,-,-,-,-,-,-
1912: Woodrow Wilson*,13,-,-,-,-,-,-,-,-
1908: William Jennings Bryan,13,-,-,-,-,-,-,-,-
1904: Alton B. Parker,13,-,-,-,-,-,-,-,-
1900: William Jennings Bryan,13,-,-,-,-,-,-,-,-
1896: William McKinley*,1,12,-,-,-,-,-,-,-
1892: Grover Cleveland*,13,-,-,-,-,-,-,-,-
1888: Grover Cleveland,13,-,-,-,-,-,-,-,-
1884: Grover Cleveland*,13,-,-,-,-,-,-,-,-
1880: Winfield Hancock,12,-,-,-,-,-,-,-,-
1876: Samuel J. Tilden,12,-,-,-,-,-,-,-,-
1872: Horace Greeley **,12,-,-,-,-,-,-,-,-
"1868: Thomas A. Hendricks (8), Benjamin G.Brown (4)",8,-,-,-,-,-,-,-,4
1864: George B. McClellan,11,-,-,-,-,-,-,-,-
1860: John Bell,-,-,-,-,-,-,-,12,-
1856: James Buchanan*,12,-,-,-,-,-,-,-,-
1852: Winfield Scott,-,-,-,-,-,-,12,-,-
1848: Zachary Taylor*,-,-,-,-,-,-,12,-,-
1844: Henry Clay,-,-,-,-,-,-,12,-,-
1840: William Henry Harrison*,-,-,-,-,-,-,15,-,-
1836: William Henry Harrison,-,-,-,-,-,-,15,-,-
1832: Henry Clay,-,-,-,-,-,15,-,-,-
1828: Andrew Jackson*,14,-,-,-,-,-,-,-,-
1824: Henry Clay,-,-,-,14,-,-,-,-,-
1820: James Monroe*,-,-,-,12,-,-,-,-,-
1816: James Monroe*,-,-,-,12,-,-,-,-,-
1812: James Madison*,-,-,-,12,-,-,-,-,-
1808: James Madison*,-,-,-,7,1,-,-,-,-
1804: Thomas Jefferson*,-,-,-,8,-,-,-,-,-
1800: Thomas Jefferson*,-,-,-,4,-,-,-,-,-
1796: Thomas Jefferson,-,-,-,4,-,-,-,-,-
1792: George Washington*,-,-,4,-,-,-,-,-,-
