Year,Conservatives,Labour,Liberal Democrats,SNP,Other
2019,25.1%,18.6%,9.5%,45%,1.8%
2017,28.6%,27.1%,6.8%,36.9%,0.7%
2015,14.9%,24.3%,7.5%,50%,3.3%
2010,16.7%,42%,18.9%,19.9%,2.5%
2005,15.8%,38.9%,22.6%,17.7%,5%
2001,15.6%,43.3%,16.3%,20.1%,4.7%
1997,17.5%,45.6%,13%,22.1%,1.9%
1992,25.6%,39%,13.1%,21.5%,0.8%
1987,24%,42.4%,19.2%,14%,0.3%
1983,28.4%,35.1%,24.5%,11.8%,0.3%
1979,31.4%,41.5%,9%,17.3%,0.8%
October 1974,24.7%,36.3%,8.3%,30.4%,0.3%
February 1974,32.9%,36.6%,7.9%,21.9%,0.6%
1970,38%,44.5%,5.5%,11.4%,0.6%
1966,37.6%,49.9%,6.8%,5%,0.7%
1964,40.6%,48.7%,7.6%,2.4%,0.6%
1959,47.2%,46.7%,4.1%,0.8%,1.2%
1955,50.1%,46.7%,1.9%,0.5%,0.9%
1951,48.6%,47.9%,5.6%,1.3%,0.5%
1950,44.8%,46.2%,6.6%,0.4%,2%
1945,40.3%,47.9%,5.6%,1.3%,4.9%
1935,48.9%,37.2%,7.5%,1.1%,5.4%
1931,54.3%,32%,9.4%,1%,3.3%
1929,35.3%,41.8%,18.1%,0.1%,4.6%
1924,40.1%,40.6%,16.7%,-,2.6%
1923,31.2%,35.5%,28.2%,-,5.2%
1922,24.2%,31.9%,39.3%,-,4.6%
1918,31.8%,23.6%,34.2%,-,10.4%
