state of India,Scooters,Mopeds,Motor cycles
Uttar Pradesh,2463.35,733.34,17930.59
Tamil Nadu,3045.02,5266.83,12781.9
Gujarat,13706.59,2437.77,0.0
Karnataka,12955.11,0.0,0.0
Rajasthan,3863.49,860.97,6525.97
Madhya Pradesh,793.59,0.0,9685.94
Andhra Pradesh,0.0,270.75,7229.76
Punjab,0.0,0.0,7480.83
Maharashtra,3886.27,1648.47,1697.45
Kerala,0.0,0.0,7194.24
Telangana,0.0,224.98,6912.43
Delhi,6480.87,115.12,0.0
Haryana,5729.15,207.96,0.0
West Bengal,1921.49,428.2,3245.67
Odisha,1794.54,399.91,3031.22
Bihar,0.0,17.38,4614.21
Chhattisgarh,2699.47,496.58,1045.72
Jharkhand,248.83,128.6,1887.53
Assam,0.0,0.0,1974.79
Uttarakhand,529.53,118.0,894.45
Goa,291.82,66.07,495.54
Puducherry,145.21,191.67,463.03
Jammu and Kashmir,215.1,58.94,471.13
Himachal Pradesh,272.12,5.37,401.43
Chandigarh,175.18,1.28,190.09
Tripura,37.9,1.81,221.06
Manipur,183.67,2.95,46.46
Mizoram,112.62,0.0,0.0
Meghalaya,36.43,8.12,61.53
Arunachal Pradesh,27.8,1.3,58.45
Nagaland,37.28,16.82,32.74
Andaman and Nicobar islands,29.67,6.61,50.12
Daman and Diu,17.96,1.27,58.59
Dadra and Nagar Haveli,24.58,5.48,41.52
Lakshadweep,2.66,0.53,11.51
Sikkim,1.72,0.0,3.35
