Year and candidate,Democrat,Republican
2020: Donald Trump,-,6
2016: Donald Trump*,-,6
2012: Barack Obama*,6,-
2008: Barack Obama*,7,-
2004: George W. Bush*,-,7
2000: Al Gore,7,-
1996: Bill Clinton*,7,-
1992: Bill Clinton*,7,-
1988: Michael Dukakis,8,-
1984: Ronald Reagan*,-,8
1980: Ronald Reagan*,-,8
1976: Gerald R. Ford,-,8
1972: Richard Nixon*,-,8
1968: Richard Nixon*,-,9
1964: Lyndon B. Johnson*,9,-
1960: Richard Nixon,-,10
1956: Dwight D. Eisenhower*,-,10
1952: Dwight D. Eisenhower*,-,10
1948: Harry S. Truman*,10,-
1944: Thomas E. Dewey,-,10
1940: Wendell Wilkie,-,11
1936: Franklin D. Roosevelt*,11,-
1932: Franklin D. Roosevelt*,11,-
1928: Herbert Hoover*,-,13
1924: Calvin Coolidge*,-,13
1920: Warren G. Harding*,-,13
1916: Charles Evans Hughes,-,13
1912: Woodrow Wilson*,13,-
1908: William Howard Taft*,-,13
1904: Theodore Roosevelt*,-,13
1900: William McKinley*,-,13
1896: William McKinley*,-,13
1892: Benjamin Harrison,-,13
1888: Benjamin Harrison*,-,13
1884: James G. Blaine,-,13
1880: James A. Garfield*,-,11
1876: Rutherford B. Hayes*,-,11
1872: Ulysses S. Grant*,-,11
1868: Ulysses S. Grant*,-,8
1864: Abraham Lincoln*,-,8
1860: Abraham Lincoln*,-,4
1856: John C. Frémont,-,4
1852: Franklin Pierce*,4,-
1848: Lewis Cass,4,-
