Month,Secured on dwellings,Consumer credit
Apr '20,1465.69,212.13
Mar '20,1465.31,220.91
Feb '20,1460.49,225.26
Jan '20,1455.78,224.79
Dec '19,1451.88,224.29
Nov '19,1445.46,225.43
Oct '19,1441.39,225.04
Sep '19,1436.63,224.46
Aug '19,1432.88,224.23
Jul '19,1429.59,222.31
Jun '19,1425.32,222.19
May '19,1422.45,221.5
Apr '19,1419.53,220.96
Mar '19,1415.44,220.36
Feb '19,1415.3,220.04
Jan '19,1411.13,219.91
Dec '18,1407.42,219.07
Nov '18,1403.76,218.73
Oct '18,1400.07,217.96
Sep '18,1392.95,217.93
Aug '18,1389.71,216.72
Jul '18,1386.45,215.82
Jun '18,1382.84,215.28
May '18,1379.48,214.14
