Month,Windows,macOS,Linux,Chrome OS,Others/unknown*
July '20,77.74%,17.07%,1.85%,0.67%,2.67%
June '20,77.68%,17.76%,1.69%,0.8%,2.06%
May '20,77.04%,18.38%,1.68%,1.06%,1.83%
April '20,76.52%,18.99%,1.61%,1.12%,1.75%
March '20,77.1%,18.34%,1.71%,1.24%,1.61%
Feb '20,77.22%,17.7%,1.91%,1.5%,1.67%
Jan '20,77.7%,17.04%,1.9%,1.52%,1.83%
Dec '19,77.64%,16.46%,1.85%,1.45%,2.59%
Nov '19,77.25%,16.73%,1.82%,1.54%,2.65%
Oct '19,77.93%,15.93%,1.77%,1.58%,2.79%
Sep '19,79.1%,14.37%,1.74%,1.48%,3.31%
Aug '19,78.32%,13.22%,1.72%,0.86%,5.87%
July '19,77.61%,13.17%,1.65%,0.54%,7.03%
June '19,78.43%,13.53%,1.6%,0.77%,5.66%
May '19,78.91%,13.89%,1.55%,1.35%,4.3%
April '19,79.45%,14.05%,1.63%,1.24%,3.63%
March '19,79.46%,14.35%,1.7%,1.28%,3.2%
Feb '19,74.44%,13.22%,1.58%,1.25%,9.51%
Jan '19,75.47%,12.33%,1.61%,1.17%,9.42%
Dec '18,76.17%,12.33%,1.69%,1.35%,8.47%
Nov '18,70.22%,12.25%,1.47%,1.1%,14.97%
Oct '18,78.04%,13.73%,1.64%,1.15%,5.45%
Sep '18,81.76%,13.49%,1.68%,1.08%,2%
Aug '18,82.51%,12.65%,1.69%,0.66%,2.49%
July '18,82.88%,12.52%,1.71%,0.5%,2.38%
June '18,82.45%,12.98%,1.69%,0.78%,2.1%
May '18,81.8%,13.36%,1.61%,1.22%,2.02%
April '18,81.73%,13.18%,1.66%,0.98%,2.46%
March '18,81.91%,12.51%,1.48%,1.03%,3.08%
Feb '18,82.55%,12.37%,1.45%,1%,2.62%
Jan '18,82.68%,12.8%,1.43%,0.9%,2.18%
Dec '17,82.68%,13.06%,1.54%,0.91%,1.81%
Nov '17,82.74%,13.23%,1.57%,0.98%,1.47%
Oct '17,82.96%,12.98%,1.62%,0.97%,1.47%
Sep '17,83.28%,12.15%,1.66%,0.84%,2.07%
Aug '17,83.53%,11.95%,1.79%,0.56%,2.16%
July '17,84.46%,11.32%,1.79%,0.45%,1.98%
June '17,84.32%,11.59%,1.74%,0.55%,1.8%
May '17,83.92%,11.76%,1.66%,0.82%,1.84%
April '17,84.22%,11.61%,1.68%,0.75%,1.74%
March '17,84.34%,11.68%,1.54%,0.84%,1.6%
Feb '17,84.14%,11.6%,1.53%,0.83%,1.91%
Jan '17,84.4%,11.2%,1.55%,0.77%,2.08%
Dec '16,84.27%,11%,1.57%,0.74%,2.43%
Nov '16,83.15%,11.14%,1.53%,0.75%,3.44%
Oct '16,80.84%,10.88%,1.44%,0.7%,6.14%
Sep '16,81.34%,10.09%,1.49%,0.65%,6.43%
Aug '16,82.45%,9.81%,1.52%,0.41%,5.82%
Jul '16,83.33%,9.61%,1.54%,0.35%,5.17%
Jun '16,84.1%,9.95%,1.47%,0.41%,4.07%
May '16,84.54%,9.83%,1.44%,0.59%,3.6%
Apr '16,85.3%,9.52%,1.55%,0.55%,3.07%
Mar '16,85.89%,9.38%,1.45%,0.53%,2.75%
Feb '16,84.82%,9.33%,1.47%,0.55%,3.84%
Jan '16,85.18%,9.03%,1.47%,0.51%,3.81%
Dec '15,84.89%,9.8%,1.48%,0.51%,3.32%
Nov '15,85.84%,9.36%,1.5%,0.47%,2.82%
Oct '15,86.44%,9.02%,1.57%,0.46%,2.52%
Sep '15,87.48%,8.63%,1.55%,0.41%,1.94%
Aug '15,88.07%,8.18%,1.5%,0.3%,1.95%
Jul '15,87.7%,8.6%,1.52%,0.26%,1.91%
Jun '15,86.3%,10.17%,1.77%,0.29%,1.48%
May '15,86.09%,10.51%,1.77%,0.38%,1.25%
Apr '15,87%,9.61%,1.91%,0.35%,1.13%
Mar '15,86.99%,9.83%,1.82%,0.34%,1.01%
Feb '15,88.08%,9.09%,1.55%,0.34%,0.95%
Jan '15,88.19%,9.1%,1.46%,0.33%,0.92%
Dec '14,88.74%,8.67%,1.39%,0.29%,0.91%
Nov '14,88.47%,8.98%,1.33%,0.28%,0.93%
Oct '14,88.28%,9.13%,1.41%,0.27%,0.9%
Sep '14,88.49%,9.15%,1.39%,0.25%,0.72%
Aug '14,89.15%,8.65%,1.38%,0.21%,0.61%
Jul '14,89.25%,8.59%,1.34%,0.19%,0.63%
Jun '14,89.27%,8.56%,1.37%,0.19%,0.61%
May '14,88.83%,8.85%,1.58%,0.19%,0.54%
Apr '14,89.18%,8.85%,1.34%,0.19%,0.44%
Mar '14,89.61%,8.58%,1.16%,0.18%,0.47%
Feb '14,89.65%,8.39%,1.14%,0.16%,0.64%
Jan '14,88.87%,8.35%,1.13%,0.14%,1.5%
Dec '13,89.55%,7.83%,1.13%,0.1%,1.39%
Nov '13,90.34%,7.45%,1.15%,0.05%,1.01%
Oct '13,90.63%,7.42%,1.1%,0.04%,0.81%
Sep '13,90.89%,7.41%,1.02%,0.04%,0.64%
Aug '13,90.56%,7.63%,1.23%,0.03%,0.55%
Jul '13,90.49%,7.81%,1.23%,0.03%,0.43%
Jun '13,90.43%,7.87%,1.3%,0.02%,0.38%
May '13,90.84%,7.61%,1.28%,0.02%,0.24%
Apr '13,91.28%,7.47%,1.05%,0.02%,0.18%
Mar '13,91.16%,7.7%,0.95%,0.02%,0.17%
Feb '13,90.87%,7.95%,0.93%,0.02%,0.23%
Jan '13,90.96%,7.95%,0.88%,0.01%,0.19%
