Month,United States,Germany
Aug '20,0.65%,-0.52%
Jul '20,0.62%,-0.52%
Jun '20,0.73%,-0.43%
May '20,0.67%,-0.52%
Apr '20,0.66%,-0.45%
Mar '20,0.87%,-0.54%
Feb '20,1.5%,-0.47%
Jan '20,1.76%,-0.31%
Dec '19,1.86%,-0.3%
Nov '19,1.81%,-0.35%
Oct '19,1.71%,-0.47%
Sep '19,1.7%,-0.59%
Aug '19,1.63%,-0.65%
Jul '19,2.06%,-0.39%
Jun '19,2.07%,-0.31%
May '19,2.4%,-0.13%
Apr '19,2.53%,-0.04%
Mar '19,2.57%,0.01%
Feb '19,2.68%,0.06%
Jan '19,2.71%,0.13%
Dec '18,2.83%,0.19%
Nov '18,3.12%,0.31%
Oct '18,3.15%,0.4%
Sep '18,3%,0.37%
Aug '18,2.89%,0.29%
Jul '18,2.89%,0.28%
Jun '18,2.91%,0.33%
May '18,2.98%,0.45%
Apr '18,2.87%,0.48%
Mar '18,2.84%,0.53%
Feb '18,2.86%,0.66%
Jan '18,2.58%,0.47%
Dec '17,2.4%,0.3%
Nov '17,2.35%,0.31%
Oct '17,2.36%,0.37%
Sep '17,2.2%,0.35%
Aug '17,2.21%,0.35%
Jul '17,2.32%,0.46%
Jun '17,2.19%,0.25%
May '17,2.3%,0.34%
Apr '17,2.3%,0.22%
Mar '17,2.48%,0.35%
Feb '17,2.42%,0.26%
Jan '17,2.43%,0.25%
Dec '16,2.49%,0.25%
Nov '16,2.14%,0.19%
Oct '16,1.76%,0%
Sep '16,1.63%,-0.09%
Aug '16,1.56%,-0.13%
Jul '16,1.5%,-0.15%
Jun '16,1.64%,-0.02%
May '16,1.81%,0.13%
Apr '16,1.81%,0.13%
Mar '16,1.89%,0.17%
Feb '16,1.78%,0.17%
Jan '16,2.09%,0.43%
Dec '15,2.24%,0.55%
Nov '15,2.26%,0.52%
Oct '15,2.07%,0.52%
Sep '15,2.17%,0.65%
Aug '15,2.17%,0.61%
Jul '15,2.32%,0.71%
Jun '15,2.36%,0.79%
May '15,2.2%,0.56%
Apr '15,1.94%,0.12%
Mar '15,2.04%,0.23%
Feb '15,1.98%,0.3%
Jan '15,1.88%,0.39%
Dec '14,2.21%,0.59%
Nov '14,2.33%,0.72%
Oct '14,2.3%,0.79%
Sep '14,2.53%,0.92%
Aug '14,2.42%,0.95%
Jul '14,2.54%,1.11%
Jun '14,2.6%,1.26%
May '14,2.56%,1.33%
Apr '14,2.71%,1.46%
Mar '14,2.72%,1.51%
Feb '14,2.71%,1.56%
Jan '14,2.86%,1.76%
Dec '13,2.9%,1.8%
Nov '13,2.72%,1.68%
Oct '13,2.62%,1.76%
Sep '13,2.81%,1.89%
Aug '13,2.74%,1.73%
Jul '13,2.58%,1.56%
Jun '13,2.3%,1.53%
May '13,1.93%,1.29%
Apr '13,1.76%,1.2%
Mar '13,1.96%,1.35%
Feb '13,1.98%,1.54%
Jan '13,1.91%,1.51%
Dec '12,1.72%,1.3%
Nov '12,1.65%,1.34%
Oct '12,1.75%,1.47%
Sep '12,1.72%,1.49%
Aug '12,1.68%,1.34%
Jul '12,1.53%,1.24%
Jun '12,1.62%,1.3%
May '12,1.8%,1.34%
Apr '12,2.05%,1.62%
Mar '12,2.17%,1.83%
Feb '12,1.97%,1.85%
Jan '12,1.97%,1.82%
Dec '11,1.98%,1.93%
Nov '11,2.01%,1.87%
Oct '11,2.15%,2%
Sep '11,1.98%,1.83%
Aug '11,2.3%,2.21%
Jul '11,3%,2.74%
Jun '11,3%,2.89%
May '11,3.17%,3.06%
Apr '11,3.46%,3.34%
Mar '11,3.41%,3.21%
Feb '11,3.58%,3.2%
Jan '11,3.39%,3.02%
Dec '10,3.29%,2.91%
Nov '10,2.76%,2.53%
Oct '10,2.54%,2.35%
Sep '10,2.65%,2.3%
Aug '10,2.7%,2.35%
Jul '10,3.01%,2.62%
Jun '10,3.2%,2.54%
May '10,3.42%,2.73%
Apr '10,3.85%,3.06%
Mar '10,3.73%,3.1%
Feb '10,3.69%,3.17%
Jan '10,3.73%,3.26%
Dec '09,3.59%,3.14%
Nov '09,3.4%,3.22%
Oct '09,3.39%,3.21%
Sep '09,3.4%,3.26%
Aug '09,3.59%,3.31%
Jul '09,3.56%,3.34%
Jun '09,3.72%,3.47%
May '09,3.29%,3.37%
Apr '09,2.93%,3.13%
Mar '09,2.82%,3.02%
Feb '09,2.87%,3.13%
Jan '09,2.52%,3.07%
Dec '08,2.42%,3.05%
Nov '08,3.53%,3.56%
Oct '08,3.81%,3.88%
Sep '08,3.69%,4.09%
Aug '08,3.89%,4.2%
Jul '08,4.01%,4.49%
Jun '08,4.1%,4.52%
May '08,3.88%,4.2%
Apr '08,3.68%,4.04%
Mar '08,3.51%,3.8%
Feb '08,3.74%,3.95%
Jan '08,3.74%,4.03%
