Quarter,Advertising revenue,Transactions revenue,Brand revenue*,Other services revenue
Q1 '14,67.3,1.3,7.5,0.4
Q2 '14,78.0,1.2,9.1,0.5
Q3 '14,91.2,1.3,9.3,0.6
Q4 '14,99.1,1.4,8.7,0.8
Q1 '15,104.3,6.6,6.6,0.9
Q2 '15,113.5,11.3,8.3,0.8
Q3 '15,121.9,12.0,9,0.7
Q4 '15,131.7,14.0,7.1,1.0
Q1 '16,143.0,14.5,-,1.1
Q2 '16,156.7,15.5,-,1.2
Q3 '16,169.0,15.9,-,1.4
Q4 '16,176.5,16.6,-,1.7
Q1 '17,177.9,18.07,-,2.21
Q2 '17,187.68,18.43,-,3.8
Q3 '17,200.5,18.52,-,4.26
Q4 '17,209.59,5.23,-,4.62
Q1 '18,214.04,3.84,-,5.19
Q2 '18,226.17,3.52,-,5.18
Q3 '18,232.5,3.04,-,4.26
Q4 '18,234.77,3.29,-,5.67
Q1 '19,277.03,3.31,-,5.6
Q2 '19,237.84,3.15,-,5.97
Q3 '19,253.1,3.07,-,6.3
Q4 '19,258.95,2.91,-,6.96
Q1 '20,240.1,2.64,-,7.17
Q2 '20,162.23,3.97,-,2.83
Q3 '20,211.17,4.41,-,5.23
