Year and candidate,Democratic,Republican,Progressive,Faithless Elector
2020: Joe Biden*,10,-,-,-
2016: Hillary Clinton,10,-,-,-
2012: Barack Obama*,10,-,-,-
2008: Barack Obama*,10,-,-,-
2004: John Kerry,9,-,-,1
2000: Al Gore,10,-,-,-
1996: Bill Clinton*,10,-,-,-
1992: Bill Clinton*,10,-,-,-
1988: Michael Dukakis,10,-,-,-
1984: Walter Mondale,10,-,-,-
1980: Jimmy Carter,10,-,-,-
1976: Jimmy Carter*,10,-,-,-
1972: Richard Nixon*,-,10,-,-
1968: Hubert Humphrey,10,-,-,-
1964: Lyndon B. Johnson*,10,-,-,-
1960: John F. Kennedy*,11,-,-,-
1956: Dwight D. Eisenhower*,-,11,-,-
1952: Dwight D. Eisenhower*,-,11,-,-
1948: Harry S. Truman*,11,-,-,-
1944: Franklin D. Roosevelt*,11,-,-,-
1940: Franklin D. Roosevelt*,11,-,-,-
1936: Franklin D. Roosevelt*,11,-,-,-
1932: Franklin D. Roosevelt*,11,-,-,-
1928: Herbert Hoover*,-,12,-,-
1924: Calvin Coolidge*,-,12,-,-
1920: Warren G. Harding*,-,12,-,-
1916: Charles Evans Hughes,-,12,-,-
1912: Theodore Roosevelt,-,-,12,-
1908: William Howard Taft*,-,11,-,-
1904: Theodore Roosevelt*,-,11,-,-
1900: William McKinley*,-,9,-,-
1896: William McKinley*,-,9,-,-
1892: Benjamin Harrison,-,9,-,-
1888: Benjamin Harrison*,-,7,-,-
1884: James G. Blaine,-,7,-,-
1880: James A. Garfield*,-,5,-,-
1876: Rutherford B. Hayes*,-,5,-,-
1872: Ulysses S. Grant*,-,5,-,-
1868: Ulysses S. Grant*,-,4,-,-
1864: Abraham Lincoln*,-,4,-,-
1860: Abraham Lincoln*,-,4,-,-
