Year,Electric power,Industrial,Residential,Commercial*,Transportation**
2019,11307,10245,5000,3521,941
2018,10589,10062,4996,3515,913
2017,9266,9533,4412,3164,770
2016,9985,9274,4347,3110,729
2015,9613,9098,4613,3202,718
2014,8146,9158,5087,3466,735
2013,8191,8909,4897,3295,863
2012,9111,8622,4149,2895,761
2011,7574,8317,4714,3154,716
2010,7387,8112,4782,3103,703
2009,6873,7443,4779,3119,697
2008,6668,7890,4892,3153,674
2007,6841,7881,4722,3013,646
2006,6222,7669,4368,2832,608
2005,5869,7713,4827,2999,607
