Month,Indigenous,Pacific Islander,Black,Latino,White,Asian
Dec 8,133.0,90.4,123.7,86.7,75.7,51.6
Nov 24,120.6,83,118.9,82.6,68.7,49.9
Nov 10,108.3,75.5,114.3,78.5,61.7,47.6
Oct 27,99.2,72.2,111.3,76.0,58.0,46.5
Oct 13,90.0,68.9,108.4,73.5,54.4,45.4
Sep 29,86.0,-,103.2,69.1,50.5,42.9
Sep 15,81.9,71.5,97.9,64.7,46.6,40.4
Aug 18,73.2,63.9,88.4,54.4,40.4,36.4
Aug 4,66.8,58.7,80.4,45.8,35.9,33.1
Jul 21,60.5,48,73.7,37.2,32.4,30.7
Jul 7,51.3,40.5,69.7,33.8,30.2,29.3
Jun 23,43.2,32.7,65.8,31.1,28.5,27.7
Jun 9,36.0,-,61.6,28.2,26.2,26.3
