faith tradition,High school grad or less,Some college,College degree,Post-grad
Unitarian/Universalist,16%,20%,22%,43%
Hindu,19%,11%,31%,38%
Jewish,22%,18%,27%,34%
Orthodox Chrisitan,28%,20%,25%,26%
Mormon,34%,33%,19%,13%
Buddhist,37%,26%,18%,19%
White Catholic,37%,24%,22%,17%
White mainline Protestant,38%,25%,19%,17%
Unaffiliated,44%,25%,17%,14%
Muslim,44%,22%,17%,16%
White evangelical Protestant,48%,27%,15%,10%
Black Protestant,52%,26%,12%,10%
Hispanic Protestant,65%,20%,10%,4%
Jehovah’s Witness,68%,23%,6%,3%
Hispanic Catholic,70%,16%,8%,4%
