Year and candidate,Democrat,Republican,Progressive
2020: Joe Biden*,55,-,-
2016: Hillary Clinton,55,-,-
2012: Barack Obama*,55,-,-
2008: Barack Obama*,55,-,-
2004: John Kerry,55,-,-
2000: Al Gore,54,-,-
1996: Bill Clinton*,54,-,-
1992: Bill Clinton*,54,-,-
1988: George H. W. Bush*,-,47,-
1984: Ronald Reagan*,-,47,-
1980: Ronald Reagan*,-,45,-
1976: Gerald R. Ford,-,45,-
1972: Richard Nixon*,-,45,-
1968: Richard Nixon*,-,40,-
1964: Lyndon B. Johnson*,40,-,-
1960: Richard Nixon,-,32,-
1956: Dwight D. Eisenhower*,-,32,-
1952: Dwight D. Eisenhower*,-,32,-
1948: Harry S. Truman*,25,-,-
1944: Franklin D. Roosevelt*,25,-,-
1940: Franklin D. Roosevelt*,22,-,-
1936: Franklin D. Roosevelt*,22,-,-
1932: Franklin D. Roosevelt*,22,-,-
1928: Herbert Hoover*,-,13,-
1924: Calvin Coolidge*,-,13,-
1920: Warren G. Harding*,-,13,-
1916: Woodrow Wilson*,13,-,-
1912: Theodore Roosevelt,2,-,11
1908: William Howard Taft*,-,10,-
1904: Theodore Roosevelt*,-,10,-
1900: William McKinley*,-,9,-
1896: William McKinley*,1,8,-
1892: Grover Cleveland*,8,1,-
1888: Bnjamin Harrison*,-,8,-
1884: James G. Blaine,-,8,-
1880: Winfield Hancock,5,1,-
1876: Rutherford B. Hayes*,-,6,-
1872: Ulysses S. Grant*,-,6,-
1868: Ulysses S. Grant*,-,5,-
1864: Abraham Lincoln*,-,5,-
1860: Abraham Lincoln*,-,4,-
1856: James Buchanan*,4,-,-
1852: Franklin Pierce*,4,-,-
