Country,Male,Female
France,315,601
Germany,433,380
England & Wales,499,227
Italy,241,130
Spain,194,113
Poland,193,94
Hungary,170,72
Lithuania,74,55
Netherlands,89,43
Latvia,40,39
Bulgaria,68,35
Finland,38,31
Cyprus,7,30
Czechia,36,30
Serbia,65,29
Sweden,86,27
Greece,59,23
Denmark,51,20
Switzerland,25,20
Slovakia,55,19
Croatia,28,18
Scotland,45,14
Norway,15,13
Kosovo,35,13
Albania,56,12
Bosnia,32,10
Northern Ireland,15,9
Slovenia,10,9
Estonia,21,8
Montenegro,11,4
North Macedonia,27,4
Iceland,1,2
Malta,8,1
