oblast of Ukraine,Total cases,Recoveries,Deaths
Kyiv,98330,31215,1679
Kharkiv Oblast,64237,49042,959
Odessa Oblast,61963,24281,879
Lviv Oblast,55860,40657,1616
Kyiv Oblast,51588,23476,859
Dnipropetrovsk Oblast,51401,39263,1223
Zaporizhia Oblast,45715,14487,459
Ivano-Frankivsk Oblast,41644,18311,764
Rivne Oblast,37840,32185,469
Chernivtsi Oblast,37695,23976,729
Sumy Oblast,37157,27735,480
Khmelnytskyi Oblast,36027,27669,580
Zhytomyr Oblast,35662,27621,600
Cherkasy Oblast,33837,15934,297
Ternopil Oblast,32089,27404,434
Donetsk Oblast,31449,21225,641
Poltava Oblast,31097,21932,655
Volyn Oblast,29817,22997,478
Zakarpattia Oblast,26855,20466,603
Chernihiv Oblast,26409,11377,290
Mykolaiv Oblast,25826,11750,416
Vinnytsia Oblast,20578,12639,350
Kherson Oblast,15151,6239,347
Luhansk Oblast,8533,6185,229
Kirovohrad Oblast,7621,3155,220
