Response,Germany,United Kingdom,United States
Cinema / theatre,49%,58%,58%
Music festivals,57%,59%,58%
Music concerts,55%,58%,57%
Sports events,53%,57%,56%
Pubs / bars / clubs,49%,62%,56%
Gym / sports centers,43%,52%,50%
Restaurants / café’s,33%,53%,46%
Large retail shops / shopping centers,28%,47%,45%
Museums / galleries,32%,45%,44%
Shopping downtown / highstreet,23%,36%,37%
Hairdressers / beauty salons,22%,36%,31%
Holidays,42%,51%,20%
Supermarket / grocery shops,7%,20%,15%
Other,3%,1%,3%
Not planning to do anything less,21%,14%,16%
