Response,1¢ to $9.99,$10 to $19.99,$20 to $39.99,$40 to $99.99,$100 or more
Tickets for music concerts/gigs,3%,2%,8%,31%,55%
Tickets for festivals,8%,6%,10%,35%,41%
Music merchandise items,11%,14%,26%,34%,14%
Vinyl albums,19%,17%,29%,26%,9%
Pre-paid music voucher,15%,26%,28%,24%,7%
Music streaming subscription gift cards,23%,28%,24%,24%,1%
CD albums/singles,25%,31%,23%,16%,6%
Music DVDs,33%,28%,21%,14%,4%
MP3/download albums,45%,26%,18%,9%,1%
Vinyl singles,68%,18%,5%,7%,3%
MP3/download singles/tracks,65%,15%,11%,8%,1%
